3d Academy (Donna, TX)
Dr. Santiago Veve Calzada (Fajardo, PR)
Dr. Theodore T. Alexander Jr. Science Center (Los Angeles, CA)
Dr. Tj Owens Gilroy Early College Academy (Gilroy, CA)
Dr. W.J. Creel Elementary School (Melbourne, FL)
Dr. William Henderson Upper (Dorchester, MA)
Dra. Conchita Cuevas (Gurabo, PR)
Dra. Maria Cadilla De Martinez (Arecibo, PR)
Dra. Maria Socorro Lacot (Guayama, PR)
Dracut Senior High (Dracut, MA)
Drake High School (Drake, ND)
Draper Middle School (Schenectady, NY)
Draper Park Middle (Draper, UT)
Draw Academy (Houston, TX)
Drayton High School (Drayton, ND)
Drc Campus (Dallas, TX)
Dream Academy (Carpentersville, IL)
Dream Academy (Elgin, IL)
Dream Academy Schools (New Port Richey, FL)
Dream Charter School (New York, NY)
Dream Tech Academy (Hopewell, VA)
Dream Technical Academy (Willmar, MN)
Dreamkeepers Academy (Shreveport, LA)
Dreamyard Preparatory School (Bronx, NY)
Dreher High (Columbia, SC)
Dresden Elementary School (Dresden, OH)
Dresden Elementary School (Sterling Heights, MI)
Dresden High School (Dresden, TN)
Drew Central High School (Monticello, AR)
Drew Elementary School (West Monroe, LA)
Drew School (San Francisco, CA)
Drexel High (Drexel, MO)
Drexel Hill Ms (Drexel Hill, PA)
Driftless Pass School (La Crosse, WI)
Dripping Springs H S (Dripping Springs, TX)
Dropout Prevention School (Largo, FL)
Druid Hills High School (Atlanta, GA)
Druid Hills Middle School (Decatur, GA)
Drum Intermediate (University Pla, WA)
Drummond High (Drummond, WI)
Drummond High School (Drummond, MT)
Drummond HS (Drummond, OK)
Drummonds Elementary (Drummonds, TN)
Drumright HS (Drumright, OK)
Drury High (North Adams, MA)
Dryden Elementary School (Dryden, NY)
Dryden High School (Dryden, MI)
Dryden High School (Dryden, NY)
Dsst: Byers High School (Denver, CO)
Dsst: Cole High School (Denver, CO)
Dsst: College View High School (Denver, CO)
Dsst: Conservatory Green High School (Denver, CO)
Dsst: Conservatory Green Middle School (Denver, CO)
Dsst: Green Valley Ranch High School (Denver, CO)
Dsst: Henry Middle School (Denver, CO)
Dsst: Montview High School (Denver, CO)
Du Bois Christian Schools (Du Bois, PA)
Du Quoin High School (Du Quoin, IL)
Du Quoin Middle School (Du Quoin, IL)
Dual Language Academy Of The Monterey Peninsula (Seaside, CA)
Duane Lake Academy (Pawling, NY)
Duanesburg High School (Delanson, NY)
Duarte High (Duarte, CA)
Dublin Coffman High School (Dublin, OH)
Dublin Consolidated School (Dublin, NH)
Dublin Elementary (Dublin, CA)
Dublin Elementary (White Lake, MI)
Dublin H S (Dublin, TX)
Dublin High (Dublin, CA)
Dublin High School (Dublin, GA)
Dublin Int (Dublin, TX)
Dublin Jerome High School (Dublin, OH)
Dublin Mennonite School (East Dublin, GA)
Dublin Middle School (Dublin, GA)
Dublin School (Dublin, NH)
Dublin Scioto High School (Dublin, OH)
Dubnoff Center For Child Development (North Hills, CA)
Dubois Area Catholic Elementary School (Du Bois, PA)
Dubois Area Catholic High School (Du Bois, PA)
Dubois Area Shs (Dubois, PA)
Dubois Elem School (Springfield, IL)
Dubois High School (Dubois, WY)
Dubuque Senior High School (Dubuque, IA)
Duchesne Academy Of The Sacred Heart (Houston, TX)
Duchesne Academy Of The Sacred Heart (Omaha, NE)
Duchesne High (Duchesne, UT)
Duchesne High School (Saint Charles, MO)
Duckwater Middle School (Duckwater, NV)
Ducor Union Elementary (Ducor, CA)
Dudley El (Victoria, TX)
Dudley Elementary (Dudley, MA)
Dudley Shoals Elementary (Granite Falls, NC)
Due West Elementary School (Marietta, GA)
Dueber Elementary School (Canton, OH)
Duello Elem. (Lake St Louis, MO)
Dufur School (Dufur, OR)
Dugger Union Community School Corp (Dugger, IN)
Dugway (Dugway, UT)
Duke Ellington School Of The Arts (Washington, DC)
Duke HS (Duke, OK)
Dulaney High (Timonium, MD)
Dulce Elementary (Dulce, NM)
Dulce High (Dulce, NM)
Dulce Middle (Dulce, NM)
Dulles H S (Sugar Land, TX)
Dulles Middle (Sugar Land, TX)
Duluth Area Learning Center (Duluth, MN)
Duluth High School (Duluth, GA)
Dumas H S (Dumas, TX)
Dumas High School (Dumas, AR)
Dumas Int (Dumas, TX)
Dumont High School (Dumont, NJ)
Dunaire Elementary School (Stone Mountain, GA)
Dunbar Early College High School (Dayton, OH)
Dunbar Elem School (East Saint Louis, IL)
Dunbar Elementary (Memphis, TN)
Dunbar H S (Fort Worth, TX)
Dunbar High School (Fort Myers, FL)
Dunbar Hill School (Hamden, CT)
Dunbar HS (Washington, DC)
Dunbar Intermediate Es (Okmulgee, OK)
Dunbar Middle School (Dunbar, WV)
Dunbar Pri (Lufkin, TX)
Dunbar Vocational Career Acad HS (Chicago, IL)
Duncan El (Fort Hood, TX)
Duncan High School (Duncan, AZ)
Duncan HS (Duncan, OK)
Duncan Lake Early Childhood Center (Caledonia, MI)
Duncan U. Fletcher High School (Neptune Beach, FL)
Duncan-Russell Community Day (Tracy, CA)
Duncan-Russell Continuation (Tracy, CA)
Duncanville H S (Duncanville, TX)
Dundalk High (Baltimore, MD)
Dundee Community High School (Dundee, MI)
Dundee Elementary School (Dundee, OR)
Dundee Junior-Senior High School (Dundee, NY)
Dundee Middle School (Dundee, IL)
Dundee-Crown High School (Carpentersville, IL)
Dundy Co Stratton High School (Benkelman, NE)
Dunedin High School (Dunedin, FL)
Dunellen High School (Dunellen, NJ)
Dunes Alternative High School (Holland, MI)
Dungannon Intermediate (Dungannon, VA)
Dungeness Virtual School (Sequim, WA)
Dunham Charter (Petaluma, CA)
Dunkerton High School (Dunkerton, IA)
Dunkirk Senior High School (Dunkirk, NY)
Dunlap High School (Dunlap, IL)
Dunlap Leadership Academy (Dunlap, CA)
Dunleith Elementary School (Marietta, GA)
Dunlow Elementary School (Dunlow, WV)
Dunmore Jshs (Dunmore, PA)
Dunn El (Arlington, TX)
Dunn Loring Ec Resource Ctr (Dunn Loring, VA)
Dunn School (Los Olivos, CA)
Dunn'S Corners School (Westerly, RI)
Dunnellon High School (Dunnellon, FL)
Dunseith High School (Dunseith, ND)
Dunsmuir High (Dunsmuir, CA)
Dunsmuir Joint Union High Community Day (Dunsmuir, CA)
Dunwoody Elementary School (Dunwoody, GA)
Dunwoody High School (Dunwoody, GA)
Dupage Alop (Addison, IL)
Dupo High School (Dupo, IL)
Dupont (Alexis I.) High School (Wilmington, DE)
Dupont Baptist Academy (Dupont, IN)
Dupont Manual High (Louisville, KY)
Dupont Middle (Chicopee, MA)
Dupre El (Lubbock, TX)
Dupree High School - 01 (Dupree, SD)
Dupree Jr. High - 04 (Dupree, SD)
Dupuy Alternative School (Birmingham, AL)
Duran Junior High School (Pell City, AL)
Durand Area High School (Durand, MI)
Durand High School (Durand, IL)
Durand Middle/High (Durand, WI)
Durand-Eastman Intermediate School (Rochester, NY)
Duranes Elementary (Albuquerque, NM)
Durango Big Picture High School (Durango, CO)
Durango High School (Durango, CO)
Durango HS (Las Vegas, NV)
Durant High School (Plant City, FL)
Durant HS (Durant, OK)
Durant Junior/Senior High School (Durant, IA)
Durant Tuuri Mott School (Flint, MI)
Durfee Magnet Elementary (Decatur, IL)
Durham Academy (Durham, NC)
Durham Academy Middle School Div (Durham, NC)
Durham High (Durham, CA)
Durham Middle School (Acworth, GA)
Durham School Of The Arts (Durham, NC)
Durham-Nockamixon El Sch (Kintnersville, PA)
Durham'S Performance Learning Center (Durham, NC)
Dutch Fork Elementary (Irmo, SC)
Dutch Fork High (Irmo, SC)
Dutch Hill Elementary (Snohomish, WA)
Dutch Neck Elementary School (West Windsor, NJ)
Dutch Valley Elementary (Clinton, TN)
Dutchess Boces (Poughkeepsie, NY)
Dutchtown High (Hampton, GA)
Dutchtown High School (Geismar, LA)
Dutton Elementary School (Dutton, AL)
Dutton/Brady Elementary (Dutton, MT)
Dutton/Brady High School (Dutton, MT)
Dutton/Brady Middle School (Dutton, MT)
Duval Academy (Jacksonville, FL)
Duval Charter High School At Baymeadows (Jacksonville, FL)
Duval High (Lanham, MD)
Duval Mycroschool Of Integrated Academics And Technologies (Jacksonville, FL)
Duval Virtual Instruction (Course Offerings) (Jacksonville, FL)
Duval Virtual Instruction Academy (Jacksonville, FL)
Duval Virtual Instruction Program (Jacksonville, FL)
Duveneck Elementary (Palo Alto, CA)
Duxbury High (Duxbury, MA)
Dwight Baptist Academy (Dwight, IL)
Dwight D. Eisenhower Elementary (Abilene, KS)
Dwight D. Eisenhower Elementary School (Piscataway, NJ)
Dwight High School (Dwight, IL)
Dwight Morrow High School/Academies@Englewood (Englewood, NJ)
Dwight Rich School Of The Arts (Lansing, MI)
Dwight School (New York, NY)
Dworshak Elementary School (Burley, ID)
Dye Elementary School (Flint, MI)
Dyer County High School (Newbern, TN)
Dyer El (Krum, TX)
Dyer Elementary (Dyer, TN)
Dyersburg High School (Dyersburg, TN)
Dyersburg Intermediate School (Dyersburg, TN)
Dyersburg Middle School (Dyersburg, TN)
Dynamic Family Services (Kent, WA)
Dynamic Minds Academy (Indianapolis, IN)
Dysart High School (El Mirage, AZ)
Dysart Ischool (Surprise, AZ)
Dzantik'I Heeni Middle School (Juneau, AK)
Dzit Dit Lool School Of Empowerment Action And Perseverance (Navajo, NM)
