7933 Main St. (Kansas City, MO)
Maine Prairie High (Continuation) (Dixon, CA)
Maine South High School (Park Ridge, IL)
Maine West High School (Des Plaines, IL)
Maine-Endwell Senior High School (Endwell, NY)
Mainland High School (Daytona Beach, FL)
Mainland Regional High School (Linwood, NJ)
Mainspring Academy Inc (Jacksonville, FL)
Maisie E. Quinn School (West Warwick, RI)
Maize Central Elementary (Maize, KS)
Maize South High School (Wichita, KS)
Maize South Middle School (Wichita, KS)
Maize Sr High (Maize, KS)
Maize Virtual Preparatory School (Maize, KS)
Major Edwards Elementary (West Boylston, MA)
Major General Raymond Murray High (Vista, CA)
Major General William R Shafter Elementary School (Honolulu, HI)
Makalapa Elementary School (Honolulu, HI)
Making Community Connections Charter School - Monadnock (Keene, NH)
Making Community Connections Charter School (H) (Manchester, NH)
Making Community Connections Charter School (M) (Manchester, NH)
Making Waves Academy (Richmond, CA)
Makua Lani Christian Academy (Kailua Kona, HI)
Makua Lanii Christian Academy (Kailua Kona, HI)
Malabar Street Elementary (Los Angeles, CA)
Malabon Elementary School (Eugene, OR)
Malad Senior High School (Malad City, ID)
Malaga Elementary (Fresno, CA)
Malakoff H S (Malakoff, TX)
Malala Yousafzai (Richmond, TX)
Malan'S Peak Secondary (Ogden, UT)
Malc (Millington, MI)
Malcolm Elementary School (Malcolm, NE)
Malcolm High School (Sault S Marie, MI)
Malcolm Jr/Sr High School (Malcolm, NE)
Malcolm Rector Technical H S (Nacogdoches, TX)
Malcolm S Mackay School (Tenafly, NJ)
Malcolm Williams School (Onondaga, MI)
Malcolm X Shabazz High School (Newark, NJ)
Malcom Bridge Middle School (Bogart, GA)
Malden Catholic High School (Malden, MA)
Malden Early Learning Center (Malden, MA)
Malden High (Malden, MA)
Malden High (Malden, MO)
Malden Lower Elem. (Malden, MO)
Malibu Elementary (Malibu, CA)
Malibu High (Malibu, CA)
Mallard Creek High School (Charlotte, NC)
Malletts Bay School (Colchester, VT)
Malley Drive Elementary School (Northglenn, CO)
Malone Elementary (Prescott, WI)
Malone School (Malone, FL)
Malta Avenue Elementary School (Ballston Spa, NY)
Malta Bend High School (Malta Bend, MO)
Malta High School (Malta, MT)
Malvern Academy (Stowe, PA)
Malvern High School (Malvern, AR)
Malvern High School (Malvern, OH)
Malvern Junior High School (Malvern, AR)
Malvern Preparatory School (Malvern, PA)
Malverne Senior High School (Malverne, NY)
Mamaroneck High School (Mamaroneck, NY)
Mambrino School (Granbury, TX)
Mamie Lou Gross Elementary School (Woodbine, GA)
Mammoth High (Mammoth Lakes, CA)
Mammoth Middle (Mammoth Lakes, CA)
Mammoth Spring Elem. School (Mammoth Spring, AR)
Mammoth Spring High School (Mammoth Spring, AR)
Mamou High School (Mamou, LA)
Man Elementary School (Mallory, WV)
Man Senior High School (Man, WV)
Mana Academy Charter School (West Valley City, UT)
Manalapan High School (Englishtown, NJ)
Manara Academy (Irving, TX)
Manara Leadership Academy (Irving, TX)
Manasquan High School (Manasquan, NJ)
Manassa Elementary School (Manassa, CO)
Manassas High (Memphis, TN)
Manassas Park High (Manassas Park, VA)
Manatee Cove Elementary School (Orange City, FL)
Manatee Elementary School (Viera, FL)
Manatee High School (Bradenton, FL)
Manatee School For The Arts (Palmetto, FL)
Manatee Technical College (Bradenton, FL)
Manatee Virtual Instruction Program (Palmetto, FL)
Manatee Virtual School ( Virtual Franchise) (Palmetto, FL)
Mancelona Elementary School (Mancelona, MI)
Mancelona High School (Mancelona, MI)
Manchester Central High School (Manchester, NH)
Manchester Christian Academy, Inc. (Manchester, KY)
Manchester Elem School (Poplar Grove, IL)
Manchester Elementary (Manchester, MD)
Manchester Elementary School (Manchester, ME)
Manchester Essex Regional High School (Manchester, MA)
Manchester High (Midlothian, VA)
Manchester High School (Akron, OH)
Manchester High School (Manchester, CT)
Manchester High School (Manchester, GA)
Manchester High School (Manchester, OH)
Manchester Jr-Sr High School (N Manchester, IN)
Manchester Juniorsenior High School (Manchester, MI)
Manchester Memorial Elementary (Manchester, MA)
Manchester Memorial High School (Manchester, NH)
Manchester Middle School (Akron, OH)
Manchester Middle School (Manchester, GA)
Manchester Regional Day School (Jackson, NJ)
Manchester School Of Technology (High School) (Manchester, NH)
Manchester Township High School (Manchester, NJ)
Manchester Valley High (Manchester, MD)
Manchester Village School (Manchester, VT)
Manchester West High School (Manchester, NH)
Mancos Elementary School (Mancos, CO)
Mancos High School (Mancos, CO)
Mandalay Middle School (Westminster, CO)
Mandan High School (Mandan, ND)
Mandaree Day School (Mandaree, ND)
Mandaree High School (Mandaree, ND)
Mandarin High School (Jacksonville, FL)
Mandela International Magnet (Mims) (Santa Fe, NM)
Mandeville High School (Mandeville, LA)
Mandeville Middle School (Mandeville, LA)
Mangham Elementary School (Mangham, LA)
Mangham High School (Mangham, LA)
Mango Elementary School (Seffner, FL)
Mangum HS (Mangum, OK)
Manhasset Middle School (Manhasset, NY)
Manhasset Secondary School (Manhasset, NY)
Manhattan Academy For Arts And Languages (New York, NY)
Manhattan Beach Preschool (Manhattan Beach, CA)
Manhattan Bridges High School (New York, NY)
Manhattan Business Academy (New York, NY)
Manhattan Center For Science & Mathematics (New York, NY)
Manhattan Comprehensive Night And Day High School (New York, NY)
Manhattan Early College School For Advertising (New York, NY)
Manhattan Elem (Manhattan, MT)
Manhattan H S (Manhattan, MT)
Manhattan High School For Girls (New York, NY)
Manhattan High School West/East Campus (Manhattan, KS)
Manhattan International High School (New York, NY)
Manhattan Middle School Of The Arts And Academics (Boulder, CO)
Manhattan School For Career Development (New York, NY)
Manhattan Village Academy (New York, NY)
Manhattan/Hunter Science High School (New York, NY)
Manheim Central Shs (Manheim, PA)
Manheim Twp HS (Lancaster, PA)
Manila Elementary School (Manila, AR)
Manila High (Manila, UT)
Manila High School (Manila, AR)
Manistee Isd Center Programs (Manistee, MI)
Manistee Middle High School (Manistee, MI)
Manistique Alternative Ed Center (Manistique, MI)
Manistique Middle And High School (Manistique, MI)
Manito Elementary School (Oakland, NJ)
Manitou Park (Tacoma, WA)
Manitou Springs High School (Manitou Springs, CO)
Manitowoc Lutheran High School (Manitowoc, WI)
Mankato Area Night School (Mankato, MN)
Mankato Area Summer School (Mankato, MN)
Mankato East Senior High (Mankato, MN)
Mankato West Senior High (Mankato, MN)
Manley Career Academy High School (Chicago, IL)
Manlius Pebble Hill School (Syracuse, NY)
Mann Middle School (Colorado Springs, CO)
Mann Middle School (Lakewood, WA)
Mannford HS (Mannford, OK)
Mannford Ms (Mannford, OK)
Mannford Upper Es (Mannford, OK)
Mannheim Middle School (Melrose Park, IL)
Manning Early Childhood Center (Manning, SC)
Manning Elementary (Manning, SC)
Manning High (Columbia, SC)
Manning High (Manning, SC)
Mannington Township Elementary School (Salem, NJ)
Mannsdale Upper Elementary (Madison, MS)
Manokotak School (Manokotak, AK)
Manor Elementary (Fairfax, CA)
Manor Excel Academy (Manor, TX)
Manor H S (Manor, TX)
Manor Heights Elementary (Casper, WY)
Manor Middle (Manor, TX)
Manor New Technology High (Manor, TX)
Manor View Elementary (Ft Meade, MD)
Mansfield Christian School (Mansfield, OH)
Mansfield Elem And High School (Mansfield, WA)
Mansfield Elementary School (Mansfield, GA)
Mansfield Frontier H S (Mansfield, TX)
Mansfield H S (Mansfield, TX)
Mansfield High (Mansfield, MA)
Mansfield High (Mansfield, MO)
Mansfield High School (Mansfield, AR)
Mansfield High School (Mansfield, LA)
Mansfield Lake Ridge H S (Mansfield, TX)
Mansfield Legacy H S (Mansfield, TX)
Mansfield Middle School (Storrs, CT)
Mansfield Senior High School (Mansfield, OH)
Mansfield Summit H S (Arlington, TX)
Mansfield Timberview H S (Arlington, TX)
Manson Elementary (Manson, WA)
Manson High School (Manson, WA)
Manson Mesa High School (Page, AZ)
Manson Northwest Webster Junior High/High School (Manson, IA)
Manson Park School (Pittsfield, ME)
Mantachie Attendance Center (Mantachie, MS)
Manteca Community Day (7-12) (Manteca, CA)
Manteca Community Day (K-6) (Manteca, CA)
Manteca High (Manteca, CA)
Manteno High School (Manteno, IL)
