C A Farley (Hudson, MA)
Chouteau-Mazie HS (Chouteau, OK)
Chowan Middle (Tyner, NC)
Chowan Multi-Purpose Juvenile School (Edenton, NC)
Chowchilla Union High (Chowchilla, CA)
Chris Yung Elem (Bristow, VA)
Chrisman High School (Chrisman, IL)
Chrisman-Scottland Jr High School (Chrisman, IL)
Chrismont School (Nokomis, IL)
Christ Academy (Collingdale, PA)
Christ Academy (Wichita Falls, TX)
Christ Centered Academics (St Cloud, FL)
Christ Centered Church Bakersfield/Gideon Academy (Bakersfield, CA)
Christ Central School (Pikeville, KY)
Christ Chapel Academy (Woodbridge, VA)
Christ Church Episcopal School (Greenville, SC)
Christ Classical Academy (Connelly Springs, NC)
Christ Classical Academy (Dyersburg, TN)
Christ Classical Academy Of Charlotte (Charlotte, NC)
Christ Covenant School (Winterville, NC)
Christ Episcopal School (Covington, LA)
Christ Lutheran High School (Buckley, IL)
Christ Lutheran School (Port St Lucie, FL)
Christ Our Rock Lutheran High School (Centralia, IL)
Christ Our Savior Lutheran High School (Evansville, IL)
Christ Preparatory Academy (Lenexa, KS)
Christ Presbyterian Academy (Nashville, TN)
Christ School (Arden, NC)
Christ The Cornerstone Academy (Laurinburg, NC)
Christ The King Cathedral School (Lubbock, TX)
Christ The King Catholic High School (Huntersville, NC)
Christ The King Christian Academy (New London, NC)
Christ The King High School (Middle Village, NY)
Christ The King Jesuit College Preparatory School (Chicago, IL)
Christ'S Church Academy (Jacksonville, FL)
Christ'S Church Christian Academy (Lancaster, OH)
Christ'S Household Of Faith School (Saint Paul, MN)
Christ'S Legacy Academy (Athens, TN)
Christa Mcauliffe Academy - School Of Arts/Sces (Lake Oswego, OR)
Christa Mcauliffe Elementary (Bakersfield, CA)
Christa Mcauliffe Elementary (Sammamish, WA)
Christa Mcauliffe Elementary School (Palm Bay, FL)
Christa Mcauliffe Learning Center (Richardson, TX)
Christbridge Academy (Azusa, CA)
Christchurch School (Christchurch, VA)
Christel House Academy South (Indianapolis, IN)
Christel House Dors (Indianapolis, IN)
Christene C Moss El (Fort Worth, TX)
Christi Stepps Academy Inc (Sunrise, FL)
Christian Academy (Honolulu, HI)
Christian Academy Of Carrollton (Carrollton, KY)
Christian Academy Of Greater St Louis (Saint Louis, MO)
Christian Academy Of Lawrenceburg (Lawrenceburg, KY)
Christian Academy Of Myrtle Beach (Myrtle Beach, SC)
Christian Academy Of Oak Ridge (Oak Ridge, TN)
Christian Academy Of The Smokies (Sevierville, TN)
Christian Academy Of Western New York (North Tonawanda, NY)
Christian Acres Alternative School (Tallulah, LA)
Christian Brothers Academy (Lincroft, NJ)
Christian Brothers High School (Memphis, TN)
Christian Brothers High School (Sacramento, CA)
Christian Center School (Hayden, ID)
Christian Central Academy (Williamsville, NY)
Christian Community School (Grafton, OH)
Christian Community School (Pampa, TX)
Christian Community Schools (White House, TN)
Christian Cottage Prep (Fort Worth, TX)
Christian County High School (Hopkinsville, KY)
Christian County Home/Hospital (Hopkinsville, KY)
Christian Crossings Academy (Odessa, FL)
Christian Encounter High School (Grass Valley, CA)
Christian Faith Academy (Ashtabula, OH)
Christian Faith Academy (Madison, WV)
Christian Fellowship School (Columbia, MO)
Christian Fellowship School (Du Quoin, IL)
Christian Growth Academy (Pueblo, CO)
Christian Heritage Academy (Del City, OK)
Christian Heritage Academy (Northfield, IL)
Christian Heritage Academy (Rocky Mount, VA)
Christian Heritage Classical School (Longview, TX)
Christian Heritage School (Dalton, GA)
Christian Heritage School (Trumbull, CT)
Christian Heritage School (Tyler, TX)
Christian Heritage School (Utica, NY)
Christian Institute Of Arts And Sciences (Pensacola, FL)
Christian Learning Academy Apopka Inc. (Apopka, FL)
Christian Learning Center (Fort Scott, KS)
Christian Liberty Academy (Keaau, HI)
Christian Life Academy (Brooksville, FL)
Christian Life Academy (Hopedale, IL)
Christian Life Academy (Huntington, IN)
Christian Life Academy (Jackson, OH)
Christian Life Academy (Kingsport, TN)
Christian Life Academy (North Ridgeville, OH)
Christian Life Academy (Raleigh, NC)
Christian Life Academy (Seneca, PA)
Christian Life School (Kenosha, WI)
Christian Light School (Bedford, PA)
Christian School District (O'Fallon, MO)
Christian School District (Saint Peters, MO)
Christian School Of York (York, PA)
Christian Victory Academy (Orlando, FL)
Christian Victory Academy Of Central Fl (Orlando, FL)
Christian Worship Center Academy (Zillah, WA)
Christiana High School (Newark, DE)
Christiansburg Elem (Christiansburg, VA)
Christiansburg High (Christiansburg, VA)
Christine Donnell School Of The Arts (Boise, ID)
Christopher Columbus (Medford, MA)
Christopher Columbus High School (Miami, FL)
Christopher Columbus School No. 15 (Elizabeth, NJ)
Christopher Donovan Day School- Inc (Onset, MA)
Christopher High (Christopher, IL)
Christopher High (Gilroy, CA)
Christoval H S (Christoval, TX)
Chrysalis Alternative (Taos, NM)
Chrysalis Experiential Academy Inc. Dba Promise Pr (Cumming, GA)
Chrysalis High School (Woodinville, WA)
Chrysalis School (Eureka, MT)
Chrysalis School (Liberty, TX)
Chrysalis School Inc (Altamonte Springs, FL)
Chrysler Elementary School (Detroit, MI)
Chshorizons School (Mohawk, MI)
Chuckey Doak High School (Afton, TN)
Chuckey Doak Middle School (Afton, TN)
Chuckey Elementary (Chuckey, TN)
Chugiak High School (Chugiak, AK)
Chugwater High School (Chugwater, WY)
Chula Vista Hills Elementary (Chula Vista, CA)
Chula Vista Learning Community Charter (Chula Vista, CA)
Chula Vista Senior High (Chula Vista, CA)
Church Farm School (Exton, PA)
Church Hill Academy (Richmond, VA)
Church Hill Middle School (Church Hill, TN)
Church Point High School (Church Point, LA)
Churchill Academy (Montgomery, AL)
Churchill Community Ed Center (Royal Oak, MI)
Churchill County High School (Fallon, NV)
Churchill Elementary School (Muskegon, MI)
Churchill H S (San Antonio, TX)
Churchill High School (Eugene, OR)
Churchill High School (Livonia, MI)
Churchill Jr High School (Galesburg, IL)
Churchill Park School (Louisville, KY)
Churchland High (Portsmouth, VA)
Churchland Preschool Ctr (Portsmouth, VA)
Churchville-Chili Middle School (Churchville, NY)
Churchville-Chili Senior High School (Churchville, NY)
Churubusco Jr-Sr High School (Churubusco, IN)
Cibola High (Albuquerque, NM)
Cibola High School (Yuma, AZ)
Cibolo Creek El (Boerne, TX)
Cicely L. Tyson Community Middle/High School (East Orange, NJ)
Cicero Elementary School (Cicero, NY)
Cicero-North Syracuse High School (Cicero, NY)
Cics - Bond Campus (Chicago, IL)
Cics - Bucktown Campus (Chicago, IL)
Cics - Irving Park Campus (Chicago, IL)
Cics - Longwood Campus (Chicago, IL)
Cics - Northtown Campus (Chicago, IL)
Cics - Quest North Campus (Chicago, IL)
Cics - Ralph Ellison Campus (Chicago, IL)
Cics - West Belden Campus (Chicago, IL)
Cielo Vista El (El Paso, TX)
Cien Aguas International (Albuquerque, NM)
Cienega High School (Vail, AZ)
Cimarron El (Katy, TX)
Cimarron Elementary (Cimarron, NM)
Cimarron Elementary (Palmdale, CA)
Cimarron Elementary School (Aurora, CO)
Cimarron Es (Lahoma, OK)
Cimarron High (Cimarron, KS)
Cimarron High (Cimarron, NM)
Cimarron HS (Lahoma, OK)
Cimarron Middle (Parker, CO)
Cimarron-Memorial HS (Las Vegas, NV)
Cincinnati College Preparatory Academy (Cincinnati, OH)
Cincinnati Hebrew Day School (Cincinnati, OH)
Cincinnati Hills Christian Academy (Cincinnati, OH)
Cincinnati Technology Academy (Cincinnati, OH)
Cincinnati Waldorf School (Cincinnati, OH)
Cincinnatus Elementary School (Cincinnatus, NY)
Cincinnatus High School (Cincinnatus, NY)
Cinco Ranch H S (Katy, TX)
Cinema School (The) (Bronx, NY)
Cinnaminson High School (Cinnaminson, NJ)
Cip (Plymouth, MN)
Cipriani Elementary (Belmont, CA)
Circle Academy (Urbana, IL)
Circle Christian School (Winter Springs, FL)
Circle City Prep Charter School (Indianapolis, IN)
Circle High (Towanda, KS)
Circle High School (Circle, MT)
Circle Of Independent Learning (Fremont, CA)
Circle Of Life Academy (White Earth, MN)
Circle School (Circle, AK)
Circleville High School (Circleville, OH)
Cis Academy (Pasadena, CA)
Cisco H S (Cisco, TX)
Cisco Learning Center (Cisco, TX)
Cisne High School (Cisne, IL)
Cissna Park Jr High School (Cissna Park, IL)
Cissna Park Sr High School (Cissna Park, IL)
Cistercian Preparatory School (Irving, TX)
Citadel Christian School (Brenham, TX)
Citadel School (Potosi, MO)
Citi High School (Rocky Mount, NC)
Citizens Academy East (Cleveland, OH)
Citizens Academy Southeast (Cleveland, OH)
Citizens Christian Academy (Douglas, GA)
Citronelle Center For Advanced Technology (Citronelle, AL)
Citronelle High School (Citronelle, AL)
Citrus Avenue Elementary (Chico, CA)
Citrus Elementary (Fontana, CA)
Citrus Glen Elementary (Ventura, CA)
Citrus Grove Elementary School (Miami, FL)
Citrus Health Sipp/Crisis (Hialeah, FL)
Citrus Heights Academy (Clermont, FL)
Citrus High (Continuation) (Fontana, CA)
Citrus High (Porterville, CA)
Citrus High School (Inverness, FL)
Citrus Hill High (Perris, CA)
Citrus Hills Intermediate (Corona, CA)
Citrus Ridge A Civics Academy (Davenport, FL)
Citrus Springs Charter (Santa Ana, CA)
Citrus Valley High (Redlands, CA)
Citrus Virtual Instruction Program (Inverness, FL)
Citrus Virtual School (Inverness, FL)
City Academy (Saint Paul, MN)
City Academy (Salt Lake City, UT)
City Arts And Tech High (San Francisco, CA)
City Chs (Pittsburgh, PA)
City College Academy Of The Arts (New York, NY)
City Garden Montessori School (St Louis, MO)
City Heights Elementary School (Van Buren, AR)
City Heights Preparatory Charter (San Diego, CA)
City High School (Tucson, AZ)
City Hill Middle School (Naugatuck, CT)
City Honors International Preparatory High (Inglewood, CA)
City Honors School (Buffalo, NY)
City Middlehigh (Grand Rapids, MI)
City Neighbors Hamilton (Baltimore, MD)
City Neighbors High (Baltimore, MD)
City Of Angels (Los Angeles, CA)
City Of Dharma Realm Instil Goodness El & Dev (West Sacramento, CA)
City Of Hialeah Education Academy (Hialeah, FL)
City Of Knowledge School (Pomona, CA)
City Of Medicine Academy (Durham, NC)
City Of Palms Charter High School (Fort Myers, FL)
City On A Hill Charter Public School Circuit Street (Roxbury, MA)
City Polytechnic High School (Brooklyn, NY)
City University School Of Liberal Arts (Memphis, TN)
City View High School (Phoenix, AZ)
City View Junior/Senior High (Wichita Falls, TX)
City/Pembroke Pines Charter High School (Pembroke Pines, FL)
Citylab H S (Dallas, TX)
Cityside Middle School (Zeeland, MI)
Civa Charter Academy (Colorado Springs, CO)
Civic Leadership Academy (Elmhurst, NY)
Civic Leadership High School (Enfield, CT)
Civic Memorial High School (Bethalto, IL)
Civicorps Corpsmember Academy (Oakland, CA)
Ck Schickler Elementary School (Lapeer, MI)
Cl Scarborough Model Middle School (Mobile, AL)
Clackamas Academy Of Industrial Sciences (Oregon City, OR)
Clackamas High School (Clackamas, OR)
Clackamas Middle College (Happy Valley, OR)
Clackamas Web Academy (Clackamas, OR)
Claggett Middle School (Medina, OH)
Claiborne Academy (Haynesville, LA)
Claiborne Adult High School (Tazewell, TN)
Claiborne County Voc Complex (Port Gibson, MS)
Claiborne High School (New Tazewell, TN)
Clairemont High (San Diego, CA)
Clairton Ms/HS (Clairton, PA)
Clallam Bay High & Elementary (Clallam Bay, WA)
Clancy School (Clancy, MT)
Clanton Intermediate School (Clanton, AL)
Clara B Ford Academy Sda (Dearborn Heights, MI)
Clara Barton Hawthorne Elementary School (Fargo, ND)
Clara Barton High School (Brooklyn, NY)
Clara E Westropp School (Cleveland, OH)
Clara Elementary School (Waynesboro, MS)
Clara Mohammed School Inc. (Milwaukee, WI)
Clara Peterson Elem School (Paxton, IL)
Clara Reynolds Es (Harrah, OK)
Clare High School (Clare, MI)
Clare Pioneer High School (Clare, MI)
Clare Primary School (Clare, MI)
Clare Woods Academy (Wheaton, IL)
Claregladwin Area School (Clare, MI)
Claremont Academy (Worcester, MA)
Claremont Christian Academy (Claremont, NH)
Claremont High (Claremont, CA)
Claremont International High School (Bronx, NY)
Claremont School (Baltimore, MD)
Claremore Christian School (Claremore, OK)
Claremore HS (Claremore, OK)
Clarence Elem. (Clarence, MO)
Clarence Senior High School (Clarence, NY)
Clarenceville High School (Livonia, MI)
Clarenceville Middle School (Livonia, MI)
Clarendon H S (Clarendon, TX)
Clarendon Hall School (Summerton, SC)
Clarendon High School (Clarendon, AR)
Clarendon Hills Middle School (Clarendon Hills, IL)
Clarendon J H (Clarendon, TX)
Clarendon School (Phoenix, AZ)
Clarendon School (Secaucus, NJ)
Clarinda Academy (Clarinda, IA)
Clarinda High School (Clarinda, IA)
Clarion Area Jshs (Clarion, PA)
Clarion County Career Center (Shippenville, PA)
Clarion-Goldfield-Dows High School (Clarion, IA)
Clarion-Limestone Area Jshs (Strattanville, PA)
Clark Acad Prep Magnet High Schl (Chicago, IL)
Clark Academy (Dobbs Ferry, NY)
Clark Advanced Learning Center (Stuart, FL)
Clark Co. High (Kahoka, MO)
Clark County Area Technology Center (Winchester, KY)
Clark County Jr/Sr High School (Dubois, ID)
Clark Ed W HS (Las Vegas, NV)
Clark El (Baytown, TX)
Clark El (Laredo, TX)
Clark Elem. (St Louis, MO)
Clark Elementary - 02 (Clark, SD)
Clark Elementary (Evanston, WY)
Clark Elementary School (Paducah, KY)
Clark Fork Jr/Sr High School (Clark Fork, ID)
Clark H S (San Antonio, TX)
Clark High School - 01 (Clark, SD)
Clark Middle (San Diego, CA)
Clark Mills School (Manalapan, NJ)
Clark Montessori High School (Cincinnati, OH)
Clark Moores Middle School (Richmond, KY)
Clark Preschool Annex (Clark, NJ)
Clark School (Rowley, MA)
Clark Street Community School (Middleton, WI)
Clark-Wilkins School (Amherst, NH)
Clarkdale High School (Meridian, MS)
Clarke Central High School (Athens, GA)
Clarke Co Career & Technology Ctr (Quitman, MS)
Clarke Community Elementary School (Osceola, IA)
Clarke Community High School (Osceola, IA)
Clarke County High (Berryville, VA)
Clarke County High School (Grove Hill, AL)
Clarke El (Fort Hood, TX)
Clarke Prep School (Grove Hill, AL)
Clarkrange High School (Clarkrange, TN)
Clarks Point School (Clarks Point, AK)
Clarks Summit El Sch (Clarks Summit, PA)
Clarksburg High (Clarksburg, MD)
Clarksburg School (Clarksburg, TN)
Clarksdale High School (Clarksdale, MS)
Clarkson Jr-Sr High School (Clarkson, NE)
Clarkston El (Tyler, TX)
Clarkston High School (Clarkston, GA)
Clarkston High School (Clarkston, MI)
Clarkston Home Alliance (Clarkston, WA)
Clarkston Junior High School (Clarkston, MI)
Clarkstown North Senior High School (New City, NY)
Clarkstown South Senior High School (West Nyack, NY)
Clarksville Academy (Clarksville, TN)
Clarksville Charter (El Dorado Hills, CA)
Clarksville Elementary School (Clarksville, IN)
Clarksville High (Clarksville, TN)
Clarksville High School (Clarksville, AR)
Clarksville High School (Clarksville, IA)
Clarksville Middle And H S (Clarksville, TX)
Clarksville Middle School (Clarksville, IN)
Clarksville Primary School (Clarksville, AR)
Clarksville Senior High School (Clarksville, IN)
Clarkton High (Clarkton, MO)
Clarkton School Of Discovery (Clarkton, NC)
Class Academy (Tinton Falls, NJ)
Class Act Charter (Park Falls, WI)
Classen HS Of Advanced Studies (Oklahoma City, OK)
Classen Ms Of Advanced Studies (Oklahoma City, OK)
Classic City High School (Athens, GA)
Classical Academy High (Escondido, CA)
Classical Center At Vial El (Garland, TX)
Classical Christian Academy (Rathdrum, ID)
Classical Christian Academy Inc. (North Fort Myers, FL)
Classical High (Lynn, MA)
Classical High School (Providence, RI)
Classical Magnet School (Hartford, CT)
Classical Preparatory School (Spring Hill, FL)
Classical School Of Wichita (Wichita, KS)
Classical Studies Academy (Bridgeport, CT)
Clatskanie Elementary School (Clatskanie, OR)
Clatskanie Middle/High School (Clatskanie, OR)
Claude Brown Elementary (Troy, MO)
Claude Schools (Claude, TX)
Clawson Elementary (Horse Creek, WY)
Clawson High School (Clawson, MI)
Claxton Elementary (Asheville, NC)
Claxton High School (Claxton, GA)
Clay Academy (Woodstock, IL)
Clay Center Community High (Clay Center, KS)
Clay Center Community Middle (Clay Center, KS)
Clay Central-Everly Elementary (Royal, IA)
Clay Christian Academy (Clay, WV)
Clay City Elem School (Clay City, IL)
Clay City High School (Clay City, IL)
Clay City Jr-Sr High School (Clay City, IN)
Clay Co Adult High School (Celina, TN)
Clay County Area Technology Center (Manchester, KY)
Clay County Christian Academy (Ashland, AL)
Clay County High School (Celina, TN)
Clay County High School (Clay, WV)
Clay County High School (Manchester, KY)
Clay County Outreach Center (Moorhead, MN)
Clay Elem School (Chicago, IL)
Clay High School (Green Cove Springs, FL)
Clay High School (Oregon, OH)
Clay High School (Portsmouth, OH)
Clay High School (South Bend, IN)
Clay Lamberton Elementary (Berlin, WI)
Clay Middle School (Portsmouth, OH)
Clay Virtual Franchise (Orange Park, FL)
Clay Virtual Instruction (Course Offerings) (Orange Park, FL)
Clay Virtual Instruction Program (Orange Park, FL)
Clay-Battelle High School (Blacksville, WV)
Claybon El (Forney, TX)
Claychalkville High School (Pinson, AL)
Claymont High School (Uhrichsville, OH)
Clays Mill Elem (Scottsburg, VA)
Claysburg-Kimmel HS (Claysburg, PA)
Claysmill Rd Christian Acadamy (Dover, NC)
Claysville School (Guntersville, AL)
Clayton A Bouton High School (Voorheesville, NY)
Clayton El (Austin, TX)
Clayton Elementary School (Clayton, DE)
Clayton High (Clayton, MO)
Clayton High (Clayton, NC)
Clayton High (Clayton, NM)
Clayton High (Clayton, WI)
Clayton High School (Clayton, NJ)
Clayton HS (Clayton, OK)
Clayton Middle (Clayton, WI)
Clayton Partnership School (Thornton, CO)
Clayton Ridge High School (Guttenberg, IA)
Clayton Valley Charter High (Concord, CA)
Clayton-Bradley Academy (Maryville, TN)
Cle Elum Roslyn High School (Cle Eum, WA)
Clear Brook H S (Friendswood, TX)
Clear Creek Amana High School (Tiffin, IA)
Clear Creek Elementary (Hendersonville, NC)
Clear Creek Elementary School (Bloomington, IN)
Clear Creek Elementary School (Clear Lake, IA)
Clear Creek H S (League City, TX)
Clear Creek High School (Evergreen, CO)
Clear Creek Int (Sanger, TX)
Clear Creek Middle School (Ellijay, GA)
Clear Falls H S (League City, TX)
Clear Fork High School (Bellville, OH)
Clear Fork Valley Preschool (Butler, OH)
Clear Horizons Early College H S (Houston, TX)
Clear Lake Elementary - 02 (Clear Lake, SD)
Clear Lake Elementary School (Clear Lake, WA)
Clear Lake H S (Houston, TX)
Clear Lake High (Clear Lake, WI)
Clear Lake High (Lakeport, CA)
Clear Lake High School (Clear Lake, IA)
Clear Lakes Christian Academy (Buhl, ID)
Clear Passage Educational Center (Long Beach, CA)
Clear Path Alternative School (Webster, TX)
Clear Run Intrmd Sch (Tobyhanna, PA)
Clear Spring High (Clear Spring, MD)
Clear Spring School (Eureka Springs, AR)
Clear Springs Elementary (Minnetonka, MN)
Clear Springs H S (League City, TX)
Clear View H S (Webster, TX)
Clear View School Day Treatment (Briarcliff Manor, NY)
Clearbrook-Gonvick Elementary (Clearbrook, MN)
Clearbrook-Gonvick Secondary (Clearbrook, MN)
Clearcreek Elementary School (Springboro, OH)
Clearfield Area Jshs (Clearfield, PA)
Clearfield County Ctc (Clearfield, PA)
Clearfield High (Clearfield, UT)
Clearfork Academy (Fort Worth, TX)
Clearlake Creativity (Clearlake, CA)
Clearmont Elem School (Elk Grove Village, IL)
Clearmont K-12 School (Clearmont, WY)
Clearstream Avenue School (Valley Stream, NY)
Clearview Early Learning Center (Martinsville, VA)
Clearview Education Inc (Lebanon, IN)
Clearview El Sch (Bethlehem, PA)
Clearview El Sch (Brogue, PA)
Clearview El Sch (Hanover, PA)
Clearview High School (Lorain, OH)
Clearview Regional High School (Mullica Hill, NJ)
Clearview Regional Middle School (Mullica Hill, NJ)
Clearwater Academy (Tyrone, GA)
Clearwater Academy International (Clearwater, FL)
Clearwater Central Catholic High School (Clearwater, FL)
Clearwater Elementary (Clearwater, SC)
Clearwater Elementary (Perris, CA)
Clearwater High (Clearwater, KS)
Clearwater High (Piedmont, MO)
Clearwater High School (Clearwater, FL)
Clearwater Intermediate (Clearwater, FL)
Clearwater Valley Jr/Sr (Kooskia, ID)
Clearway High School (Nashua, NH)
Clearway School (Newton, MA)
Cleary School For The Deaf (Nesconset, NY)
Cleburne Christian Academy (Cleburne, TX)
Cleburne County Alternative School (Heflin, AL)
Cleburne County Career Technical School (Heflin, AL)
Cleburne County Elementary School (Heflin, AL)
Cleburne County High School (Heflin, AL)
Cleburne County Middle School (Heflin, AL)
Cleburne H S (Cleburne, TX)
Clelian Heights School For Exceptional Children (Greensburg, PA)
Clemens Crossing Elementary (Columbia, MD)
Clemente Community Academy HS (Chicago, IL)
Clemente Roberto Ms (Philadelphia, PA)
Clements H S (Sugar Land, TX)
Clements High School (Athens, AL)
Cleminson Elementary (Temple City, CA)
Clemmons Elementary (Clemmons, NC)
Clemson Elementary (Clemson, SC)
Cleo Gordon Elementary (Fairfield, CA)
Cleona El Sch (Cleona, PA)
Cleora Public School (Afton, OK)
Clermont Elem (Alexandria, VA)
Clermont Middle School (Clermont, FL)
Clermont Northeastern High School (Batavia, OH)
Cleta Harder Developmental School (La Habra, CA)
Cleveland Academy For Scholarship Technology And Leadership (Cleveland, OH)
Cleveland Arts And Social Sciences Academy (Cleveland, OH)
Cleveland Central Catholic High School (Cleveland, OH)
Cleveland Central High School (Cleveland, MS)
Cleveland Christian School (Cleveland, TN)
Cleveland Early College High (Cleveland, OH)
Cleveland El Sch (Allentown, PA)
Cleveland Elementary (Cleveland, WI)
Cleveland Elementary (Lakewood, CA)
Cleveland Elementary School (Atlanta, GA)
Cleveland Elementary School (Elkhart, IN)
Cleveland Es (Norman, OK)
Cleveland H S (Cleveland, TX)
Cleveland Heights High School (Cleveland Heights, OH)
Cleveland High (Clayton, NC)
Cleveland High (Cleveland, TN)
Cleveland High School (Cleveland, AL)
Cleveland High School (Portland, OR)
Cleveland High School (Rio Rancho, NM)
Cleveland High School For The Digital Arts (Cleveland, OH)
Cleveland High School Stem (Seattle, WA)
Cleveland Hill Elementary School (Cheektowaga, NY)
Cleveland Hill High School (Cheektowaga, NY)
Cleveland HS (Cleveland, OK)
Cleveland Innovation (Shelby, NC)
Cleveland Intermediate Es (Cleveland, OK)
Cleveland Middle (Cleveland, TN)
Cleveland Njrotc Academy (St Louis, MO)
Cleveland Primary Es (Cleveland, OK)
Cleveland Road Elementary School (Bogart, GA)
Cleveland School Of Architecture & Design (Cleveland, OH)
Cleveland School Of Science & Medicine (Cleveland, OH)
Cleveland School Of The Arts High School (Cleveland, OH)
Cleveland Secondary (Cleveland, MN)
Cleveland Street Elementary School (Orange, NJ)
Cleveland Voc Tech Complex (Cleveland, MS)
Clever High (Clever, MO)
Clewiston Christian School (Clewiston, FL)
Clewiston High School (Clewiston, FL)
Clewiston Youth Developmental Academy (Clewiston, FL)
Cliff Elementary (Cliff, NM)
Cliff High (Cliff, NM)
Cliff Island School (Cliff Island, ME)
Cliff Park High School (Springfield, OH)
Clifford Academy (East Walpole, MA)
Cliffside Park High School (Cliffside Park, NJ)
Clifton Ave Grade School (Lakewood, NJ)
Clifton H S (Clifton, TX)
Clifton High School (Clifton, NJ)
Clifton Middle (Clifton, TX)
Clifton-Clyde Middle School (Clifton, KS)
Clifton-Clyde Sr High (Clyde, KS)
Clifton-Fine Junior-Senior High School (Star Lake, NY)
Cliftondale Elementary School (College Park, GA)
Climax Secondary (Climax, MN)
Climax Springs High (Climax Springs, MO)
Climaxscotts High School (Climax, MI)
Clinch County High School (Homerville, GA)
Clinch County Middle School (Homerville, GA)
Clinch River Community School (Clinton, TN)
Clinch School (Sneedville, TN)
Clinical Day School - Manchester Memorial Hospital (Manchester, CT)
Clint H S (Clint, TX)
Clint Isd Early College Academy (Clint, TX)
Clint Isd Jjaep (El Paso, TX)
Clinton Alternative School (Clinton, MS)
Clinton Central Elementary School (Michigantown, IN)
Clinton Central Junior-Senior HS (Michigantown, IN)
Clinton Christian Academy (Clinton, MO)
Clinton Christian School (Goshen, IN)
Clinton County Education Center (Saint Johns, MI)
Clinton County High School (Albany, KY)
Clinton County Sheriffs Department (Plattsburgh, NY)
Clinton Elementary (Clinton, TN)
Clinton Elementary School (Lincoln, NE)
Clinton High (Clinton, NC)
Clinton High (Clinton, SC)
Clinton High (Clinton, WI)
Clinton High School (Clinton, AR)
Clinton High School (Clinton, IA)
Clinton High School (Clinton, IL)
Clinton High School (Clinton, MI)
Clinton High School (Clinton, MS)
Clinton High School (Clinton, TN)
Clinton HS (Clinton, OK)
Clinton Middle School (Clinton, MA)
Clinton Ms (Clinton, OK)
Clinton Park Elem School (Clinton, MS)
Clinton Prairie Jr-Sr High School (Frankfort, IN)
Clinton School (Clinton, UT)
Clinton School (The) (New York, NY)
Clinton Senior High (Clinton, MA)
Clinton Senior High School (Clinton, NY)
Clinton Sr. High (Clinton, MO)
Clinton Technical Sch. (Clinton, MO)
Clinton Virtual Jrsr High School (Clinton, MI)
Clinton Voc Complex (Clinton, MS)
Clinton West Es (Tulsa, OK)
Clinton William Jefferson (Compton, CA)
Clinton Young Elementary School (Indianapolis, IN)
Clinton-Essex-Warren-Washington Boces (Plattsburgh, NY)
Clinton-Massie High School (Clarksville, OH)
Clintondale High School (Clinton Township, MI)
Clintondale Middle School (Clinton Township, MI)
Clintonville Elementary School (North Haven, CT)
Clintonville High (Clintonville, WI)
Clintonville Middle (Clintonville, WI)
Clio Area High School (Clio, MI)
Clio Community High School (Clio, MI)
Clio Learning Center (Clio, MI)
Clip (Carnation, WA)
Clippard Elem. (Cape Girardeau, MO)
Clippert Academy (Detroit, MI)
Clnton/Mrn/Wshngtn Pre-Kind Prog (Mount Vernon, IL)
Clonlara School (Ann Arbor, MI)
Clopton Elem. (Clarksville, MO)
Clopton High (Clarksville, MO)
Cloquet Area Alt. Ed. Programs (Cloquet, MN)
Cloquet Senior (Cloquet, MN)
Cloud City High School (Leadville, CO)
Cloudcroft High (Cloudcroft, NM)
Cloudland High School (Roan Mountain, TN)
Clover Creek High School (Montpelier, ID)
Clover Flat Elementary (Boulevard, CA)
Clover Garden (Burlington, NC)
Clover High (Clover, SC)
Clover Hill High (Midlothian, VA)
Clover Park High School (Lakewood, WA)
Clover Valley High (Continuation) (Upper Lake, CA)
Clovercroft Elementary School (Franklin, TN)
Cloverdale Elementary School (Idaho Falls, ID)
Cloverdale High (Cloverdale, CA)
Cloverdale High School (Cloverdale, IN)
Cloverland Elementary (Oakdale, CA)
Cloverleaf Elementary (Statesville, NC)
Cloverleaf High School (Lodi, OH)
Cloverleaf Home Education (Castle Rock, CO)
Cloverport Independent School (Cloverport, KY)
Clovis Christian Schools (Clovis, NM)
Clovis Community Day Secondary (Clovis, CA)
Clovis East High (Clovis, CA)
Clovis High (Clovis, CA)
Clovis High (Clovis, NM)
Clovis HS Freshman Academy (Clovis, NM)
Clovis North High (Fresno, CA)
Clovis Online Charter (Clovis, CA)
Clovis Point Intermediate School (East Wenatchee, WA)
Clovis West High (Fresno, CA)
Club Med Academies (Port St Lucie, FL)
Cluster V Sp Ed (Sabinal, TX)
Clyde Elementary (Clyde, NC)
Clyde H S (Clyde, TX)
Clyde High School (Clyde, OH)
Clyde J H (Clyde, TX)
Clyde-Savannah High School (Clyde, NY)
Clymer Central School (Clymer, NY)
Cmj Academy (Jasper, FL)
Cms Iacademy At Lincoln Jackson (Clovis, NM)
Cmsd Alternative School (Columbus, MS)
Cns/Pathways Academy (Arlington, MA)
Cnusd Hybrid School Of Innovation (Norco, CA)
Coachella Valley High (Thermal, CA)
Coahoma County Jr/Sr High School (Clarksdale, MS)
Coahoma Early College High School (Clarksdale, MS)
Coahoma H S (Coahoma, TX)
Coahulla Creek High School (Dalton, GA)
Coal City Early Childhood Center (Coal City, IL)
