C A Farley (Hudson, MA)
Calvary Bible Academy (Dowagiac, MI)
Calvary Chapel Academy (West Melbourne, FL)
Calvary Chapel Christian School (Aiea, HI)
Calvary Chapel Christian School (Downey, CA)
Calvary Chapel Christian School (Fredericktown, PA)
Calvary Chapel Christian School (Lancaster, CA)
Calvary Chapel Christian School (Las Vegas, NV)
Calvary Chapel Christian School (Moreno Valley, CA)
Calvary Chapel Green Valley Christian Academy (Las Vegas, NV)
Calvary Christian (Concord, CA)
Calvary Christian Academy (Albuquerque, NM)
Calvary Christian Academy (Chula Vista, CA)
Calvary Christian Academy (Cresaptown, MD)
Calvary Christian Academy (Dover, DE)
Calvary Christian Academy (Emmett, ID)
Calvary Christian Academy (Fort Worth, TX)
Calvary Christian Academy (Greenville, NC)
Calvary Christian Academy (Huntingdon, PA)
Calvary Christian Academy (La Follette, TN)
Calvary Christian Academy (Middleburg, FL)
Calvary Christian Academy (Normal, IL)
Calvary Christian Academy (Ormond Beach, FL)
Calvary Christian Academy (Rockingham, VA)
Calvary Christian Academy (Silver City, NM)
Calvary Christian Academy (Turner, ME)
Calvary Christian Academy & Preschool (Fort Walton Beach, FL)
Calvary Christian Academy Hollywood (Hollywood, FL)
Calvary Christian School (Banning, CA)
Calvary Christian School (Bellefontaine, OH)
Calvary Christian School (Chattanooga, TN)
Calvary Christian School (Columbus, GA)
Calvary Christian School (Covington, KY)
Calvary Christian School (Forrest City, AR)
Calvary Christian School (Hollister, CA)
Calvary Christian School (Indianapolis, IN)
Calvary Christian School (King, NC)
Calvary Christian School (Myrtle Beach, SC)
Calvary Christian School (Nampa, ID)
Calvary Christian School (New Canton, VA)
Calvary Christian School (Old Bridge, NJ)
Calvary Christian School (Plymouth, NH)
Calvary Christian School (Sacramento, CA)
Calvary Christian School (Triangle, VA)
Calvary Christian School (Wilmington, NC)
Calvary Christian School (Winchester, KY)
Calvary Christian Schools (Fruitport, MI)
Calvary City Christian Academy & Preschool (Orlando, FL)
Calvary Day School (Savannah, GA)
Calvary Day School (Winston Salem, NC)
Calvary Education Center (Sanford, NC)
Calvary Episcopal Preparatory (Richmond, TX)
Calvary Fellowship Mennonite (Blackville, SC)
Calvary Indian Mission School (Brimhall, NM)
Calvary Lutheran High School (Jefferson City, MO)
Calvary Mennonite School (Chambersburg, PA)
Calvary Road Baptist Academy (Monrovia, CA)
Calvary Schools Of Holland (Holland, MI)
Calvary West Christian School (Anthony, NM)
Calvert Catholic School (Tiffin, OH)
Calvert Charter For Enriched Studies (Woodland Hills, CA)
Calvert Country School (Prince Frederick, MD)
Calvert Hall College High School (Baltimore, MD)
Calvert High (Prince Frederick, MD)
Calvert School (Calvert, TX)
Calvery Chapel Christian School (Tucson, AZ)
Calvin A. Hunsinger School (Clearwater, FL)
Calvin Coolidge (Shrewsbury, MA)
Calvin Coolidge School (Binghamton, NY)
Calvin High School (Calvin, LA)
Calvin HS (Calvin, OK)
Calvin Nelms H S (Katy, TX)
Calvine High (Sacramento, CA)
Cam Academy (Battle Ground, WA)
Cam High School (Anita, IA)
Camanche High School (Camanche, IA)
Camarillo Academy Of Progressive Education (Camarillo, CA)
Camas County High School (Fairfield, ID)
Camas High School (Camas, WA)
Camas Ridge Community Elementary (Eugene, OR)
Camas School District Open Doors (Camas, WA)
Camas Valley School (Camas Valley, OR)
Cambia Hills (East Bethel, MN)
Cambria County Christian School (Johnstown, PA)
Cambria El Sch (Ebensburg, PA)
Cambria Friesland Middle/High (Cambria, WI)
Cambria Grammar (Cambria, CA)
Cambria Heights Academy (Hollis, NY)
Cambria Heights Shs (Patton, PA)
Cambridge Academy (Greenwood, SC)
Cambridge Alternative High School (Garden City, MI)
Cambridge Christian School (Cambridge, MN)
Cambridge Comm Grade School (Cambridge, IL)
Cambridge Continuation High (Fresno, CA)
Cambridge High (Cambridge, WI)
