Lake Louise Elementary School (Lakewood, WA)
Lake Lure Classical Academy (Lake Lure, NC)
Lake Marion High School And Technology Center (Santee, SC)
Lake Mary High School (Lake Mary, FL)
Lake Mary Preparatory School (Lake Mary, FL)
Lake Mead Christian Academy (Henderson, NV)
Lake Michigan Academy (Grand Rapids, MI)
Lake Michigan Catholic Middle And High School (Saint Joseph, MI)
Lake Middle / High School (Uniontown, OH)
Lake Middle School (Millbury, OH)
Lake Middle School (Woodbury, MN)
Lake Mills High (Lake Mills, WI)
Lake Mills Senior High School (Lake Mills, IA)
Lake Minneola High School (Minneola, FL)
Lake Montessori School (Leesburg, FL)
Lake Murray Elementary (Chapin, SC)
Lake Myra Elementary (Wendell, NC)
Lake Nona High (Orlando, FL)
Lake Norman Charter (Huntersville, NC)
Lake Norman Christian School (Huntersville, NC)
Lake Norman High (Mooresville, NC)
Lake Oconee Charter High School (Greensboro, GA)
Lake Of The Woods Secondary (Baudette, MN)
Lake Ontario Baptist Academy (Hilton, NY)
Lake Orienta Elementary School (Altamonte Springs, FL)
Lake Orion Baptist School (Lake Orion, MI)
Lake Orion Community High School (Lake Orion, MI)
Lake Oswego Senior High School (Lake Oswego, OR)
Lake Otis Elementary (Anchorage, AK)
Lake Park Audubon Secondary (Lake Park, MN)
Lake Park High School (Roselle, IL)
Lake Park School (Willmar, MN)
Lake Pend Oreille High School (Sandpoint, ID)
Lake Placid High School (Lake Placid, FL)
Lake Placid Junior-Senior High School (Lake Placid, NY)
Lake Pointe Academy (York, SC)
Lake Powell High School (Lake Powell, UT)
Lake Powell School (Lake Powell, UT)
Lake Prairie Elementary School (Lowell, IN)
Lake Preston High School - 01 (Lake Preston, SD)
Lake Quinault School (Amanda Park, WA)
Lake Region Christian School (Baxter, MN)
Lake Region High School (Eagle Lake, FL)
Lake Region High School (Naples, ME)
Lake Region Uhsd #24 (Orleans, VT)
Lake Region Vocational Center (Naples, ME)
Lake Ridge Academy (North Ridgeville, OH)
Lake Ridge Elementary (Johnson City, TN)
Lake Robert E Es (Las Vegas, NV)
Lake Roosevelt Alternative School (Grand Coulee, WA)
Lake Roosevelt Elementary (Coulee Dam, WA)
Lake Roosevelt Jr/Sr High School (Coulee Dam, WA)
Lake Rose Christian Academy (Orlando, FL)
Lake School (Granite City, IL)
Lake Shore Elementary (Pasadena, MD)
Lake Shore High School (Saint Clair Shores, MI)
Lake Shore Senior High School (Angola, NY)
Lake Stevens Elementary School (Miami Gardens, FL)
Lake Stevens Middle School (Miami Gardens, FL)
Lake Stevens Sr High School (Lake Stevens, WA)
Lake Stickney Elementary School (Lynnwood, WA)
Lake Street Primary (Los Angeles, CA)
Lake Success Academy (Howey Iin The Hills, FL)
Lake Superior High (Ashland, WI)
Lake Sybelia Elementary (Maitland, FL)
Lake Tahoe Prepatory School (Olympic Valley, CA)
Lake Taylor High (Norfolk, VA)
Lake Technical College (Eustis, FL)
Lake Travis H S (Austin, TX)
Lake Travis Stem Academy (Cedar Park, TX)
Lake View Charter (Orland, CA)
Lake View Elementary (Madison, WI)
Lake View H S (San Angelo, TX)
Lake View High (Lake View, SC)
Lake View High School (Chicago, IL)
Lake Village Elementary School (Lake Village, IN)
Lake Virtual Franchise (Eustis, FL)
Lake Virtual Instruction Course Offerings (Eustis, FL)
Lake Virtual Instruction Program (District Provided) (Eustis, FL)
Lake Virtual Instruction Program (Eustis, FL)
Lake Wales Senior High School (Lake Wales, FL)
Lake Washington High School (Kirkland, WA)
Lake Washington Technical Academy (Kirkland, WA)
Lake Weir High School (Ocala, FL)
Lake Weir Middle School (Summerfield, FL)
Lake Worth H S (Lake Worth, TX)
Lake Worth High School (Lake Worth, FL)
Lake Zurich High School (Lake Zurich, IL)
Lake Zurich Middle - N Campus (Hawthorn Woods, IL)
Lake-Lehman Jshs (Lehman, PA)
Lakeforest Elementary (Greenville, NC)
