University Academy (Salt Lake City, UT)
University Academy Charter High School (Jersey City, NJ)
University Academy-Upper (Kansas City, MO)
University Baptist Academy (North Las Vegas, NV)
University Center Preschool (Thousand Oaks, CA)
University Christian High School (Hickory, NC)
University City High (San Diego, CA)
University City Sr. High (University City, MO)
University Elementary School (Bloomington, IN)
University Gardens (Especializada) (San Juan, PR)
University H S (Austin, TX)
University H S (Waco, TX)
University Heights Academy (Hopkinsville, KY)
University Heights Secondary School-Bronx Community College (Bronx, NY)
University High (Fresno, CA)
University High (Irvine, CA)
University High (Orlando, FL)
University High (Roswell, NM)
University High School (Ferndale, MI)
University High School (Morgantown, WV)
University High School (Newark, NJ)
University High School (Normal, IL)
University High School (Orange City, FL)
University High School (Spokane Valley, WA)
University High School (Tolleson, AZ)
University High School (Tucson, AZ)
University High School Academy (Lathrup Village, MI)
University High School Charter (Los Angeles, CA)
University High School Of Indiana (Carmel, IN)
University High School Of Science And Engineering (Hartford, CT)
University Hills Elementary (Las Cruces, NM)
University Laboratory School (Honolulu, HI)
University Lake School (Hartland, WI)
University Neighborhood High School (New York, NY)
University Of Detroit Jesuit High School & Academy (Detroit, MI)
University Of Illinois High Sch (Urbana, IL)
University Of Nebraska High School (Lincoln, NE)
University Of Silvaner (Los Angeles, CA)
University Of Texas At Austin H S (Austin, TX)
University Park El Sch (Monroeville, PA)
University Park Elementary (Irvine, CA)
University Pathways Medical Magnet Academy (Los Angeles, CA)
University Pathways Public Service Academy (Los Angeles, CA)
University Pk Campus School (Worcester, MA)
University Prep (Seattle, WA)
University Prep Charter High School (Bronx, NY)
University Preparatory (Redding, CA)
University Preparatory (Victorville, CA)
University Preparatory Academy Charter (San Jose, CA)
University Preparatory Academy Psad High School (Detroit, MI)
University Preparatory Art Design Middlehigh (Detroit, MI)
University Preparatory Charter School For Young Men (Rochester, NY)
University Preparatory High (Visalia, CA)
University Preparatory Science And Math Elementary (Detroit, MI)
University Preparatory Science And Math Psad High School (Detroit, MI)
University Preparatory Value High (Los Angeles, CA)
University School (Johnson City, TN)
University School Of Nashville (Nashville, TN)
University School Of The Lowcountry (Mount Pleasant, SC)
University School-Milwaukee (Milwaukee, WI)
University Schools (Greeley, CO)
University View Academy Inc. (Frm La Connections) (Baton Rouge, LA)
University Yes Academy (Detroit, MI)
Unlimited Visions Aftercare (Pasadena, TX)
Unm Mimbres School (Albuquerque, NM)
Up Academy Charter School Of Boston (South Boston, MA)
Up Academy Leonard Middle School (Lawrence, MA)
Upchurch Elementary (Omaha, NE)
Upland Heights El (Lubbock, TX)
Upland High (Upland, CA)
Uplift Academy (Newark, NJ)
Uplift Community High School (Chicago, IL)
Uplift Educatiion-North Hills Prep Pri (Irving, TX)
Uplift Education - Infinity Preparatory Middle Sch (Irving, TX)
Uplift Education-North Hills Prep H S (Irving, TX)
Uplift Gradus Preparatory (Desoto, TX)
Uplift Grand H S (Grand Prairie, TX)
Uplift Hampton Preparatory H S (Dallas, TX)
Uplift Hampton Preparatory Middle (Dallas, TX)
Uplift Heights Preparatory H S (Dallas, TX)
Uplift Infinity H S (Irving, TX)
Uplift Luna Preparatory H S (Dallas, TX)
Uplift Michigan Academy (Stephenson, MI)
Uplift Mighty H S (Fort Worth, TX)
Uplift Peak Preparatory H S (Dallas, TX)
Uplift Peak Preparatory Middle (Dallas, TX)
Uplift Summit International H S (Arlington, TX)
Uplift Triumph Preparatory School (Dallas, TX)
Uplift Williams Preparatory H S (Dallas, TX)
Uplift Williams Preparatory Middle (Dallas, TX)
Uplift Wisdom Secondary (Dallas, TX)
Upper Allen El Sch (Mechanicsburg, PA)
Upper Arlington High School (Upper Arlington, OH)
Upper Bucks County Technical School (Perkasie, PA)
Upper Cape Cod Vocational Technical (Bourne, MA)
Upper Columbia Academy - High School (Spangle, WA)
Upper Cumberland Christian Academy (Livingston, TN)
Upper Darby Kdg Ctr (Drexel Hill, PA)
Upper Darby Shs (Drexel Hill, PA)
Upper Dauphin Area HS (Elizabethville, PA)
Upper Dublin HS (Fort Washington, PA)
Upper Kennebec Valley Middle/Senior High School (Bingham, ME)
Upper Keys Academic Connections For Excellence (Tavernier, FL)
Upper Lake Community Day (Upper Lake, CA)
Upper Lake Elementary (Upper Lake, CA)
Upper Lake High (Upper Lake, CA)
Upper Merion HS (King Of Prussia, PA)
Upper Mississippi High Academy (Saint Paul, MN)
Upper Mississippi Middle Academy (Saint Paul, MN)
Upper Moreland HS (Willow Grove, PA)
Upper Moreland Primary Sch (Hatboro, PA)
Upper Perkiomen HS (Pennsburg, PA)
Upper Providence El Sch (Royersford, PA)
Upper Room Ministries Christian Academy (College Park, GA)
Upper Saint Clair HS (Pittsburgh, PA)
Upper Sandusky High School (Upper Sandusky, OH)
Upper Scioto Valley High School (Mcguffey, OH)
Upper Valley Career Center (Piqua, OH)
Upper Valley Christian School (Leavenworth, WA)
Upperman High School (Baxter, TN)
Upriver Elementary School (Fernwood, ID)
Upsala Secondary (Upsala, MN)
Upson-Lee Elementary School (Thomaston, GA)
Upson-Lee High School (Thomaston, GA)
Upstream Learning Correspondence (Glennallen, AK)
Upton High School (Upton, WY)
Upton Lake Christian School (Clinton Corners, NY)
Upward Hope Academy (Galveston, TX)
Upward International Schools, Pines Academy Campus (Magalia, CA)
Urban Academy Laboratory High School (New York, NY)
Urban Action Academy (Brooklyn, NY)
Urban Assembly Academy Of Government And Law (New York, NY)
Urban Assembly Bronx Academy Of Letters (The) (Bronx, NY)
Urban Assembly Gateway School For Technology (New York, NY)
Urban Assembly Institute Of Math And Science For Young Women (Brooklyn, NY)
Urban Assembly Maker Academy (New York, NY)
Urban Assembly New York Harbor School (New York, NY)
Urban Assembly School For Applied Math And Science (The) (Bronx, NY)
Urban Assembly School For Collaborative Healthcare (The) (Brooklyn, NY)
Urban Assembly School For Emergency Management (The) (New York, NY)
Urban Assembly School For Global Commerce (The) (New York, NY)
Urban Assembly School For Green Careers (The) (New York, NY)
Urban Assembly School For Law And Justice (The) (Brooklyn, NY)
Urban Assembly School For Leadership And Empowerment (Brooklyn, NY)
Urban Assembly School For Media Studies (New York, NY)
Urban Assembly School For Music And Art (Brooklyn, NY)
Urban Assembly School For The Performing Arts (New York, NY)
Urban Assembly School Of Business For Young Women (New York, NY)
Urban Assembly School Of Design And Construction (New York, NY)
Urban Christian Academy (Savannah, GA)
Urban Corps Of San Diego County Charter (San Diego, CA)
Urban Discovery Academy Charter (San Diego, CA)
Urban Dove Team Charter School (Brooklyn, NY)
Urban Dove Team Charter School Ii (Bronx, NY)
Urban Early College Network (Dayton, OH)
Urban Pathways 6-12 Cs (Pittsburgh, PA)
Urban Prep Chtr Acad Bronzeville HS (Chicago, IL)
Urban Prep Chtr Acad Englewood HS (Chicago, IL)
Urban Prep West Charter School (Chicago, IL)
Urban Promise Academy (Pennsauken, NJ)
Urban Promise Academy (Wilmington, DE)
Urban Scholars Community School (Bronx, NY)
Urban School Of San Francisco (San Francisco, CA)
Urban Science Academy (Roslindale, MA)
Urban Skills Center (San Diego, CA)
Urbana Elementary (Frederick, MD)
Urbana Elementary School (Urbana, OH)
Urbana Gerber School (Urbana, IL)
Urbana High (Ijamsville, MD)
Urbana High School (Urbana, IL)
Urbana High School (Urbana, OH)
Urbana Middle (Ijamsville, MD)
Urbandale High School (Urbandale, IA)
Urbandale Middle School (Urbandale, IA)
Urceo-Upper Rogue Center For Educational Opportunities (Eagle Point, OR)
Uriah H Lawton School (Ann Arbor, MI)
Urie Elementary (Lyman, WY)
Ursula Stephens El (Katy, TX)
Ursuline Academy (Dedham, MA)
Ursuline Academy (Saint Louis, MO)
Ursuline Academy High School (New Orleans, LA)
Ursuline Academy Of Cincinnati (Cincinnati, OH)
Ursuline Academy Of Dallas (Dallas, TX)
