Indiana Connections Academy (Indianapolis, IN)
Indiana Connections Career Academy (Indianapolis, IN)
Indiana County Technology Center (Indiana, PA)
Indiana Digital Alternative School (Modoc, IN)
Indiana Digital Jr And High School (Modoc, IN)
Indiana Gateway Digital Academy (Clarksville, IN)
Indiana School For The Blind (Indianapolis, IN)
Indiana School For The Deaf (Indianapolis, IN)
Indiana Wesleyan School (Clymer, PA)
Indianapolis Metropolitan High Sch (Indianapolis, IN)
Indianhead Academy High School (Weiser, ID)
Indianola Academic Achievement (Indianola, MS)
Indianola Career & Tech Center (Indianola, MS)
Indianola Es (Indianola, OK)
Indianola High School (Indianola, IA)
Indianola HS (Indianola, OK)
Indiera Fria (Maricao, PR)
Indio High (Indio, CA)
Indio Middle (Indio, CA)
Individualized Graduation & Degree Program (Kent, WA)
Individualized Learning Center (Le Mars, IA)
Indus Secondary (Birchdale, MN)
Industrial Design Engineering And Art (Tacoma, WA)
Industrial El West (Inez, TX)
Industrial H S (Vanderbilt, TX)
Industry Limited Secure School (Rush, NY)
Ines Encarnacion (Fajardo, PR)
Ines M Mendoza Vda De Munoz Marin (San Juan, PR)
Ines M. Mendoza De Munoz Marin (Comerio, PR)
Ines Maria Mendoza De Munoz Marin (Bayamon, PR)
Ines Maria Mendoza De Munoz Marin (Cabo Rojo, PR)
Infant Toddler At Bryan Community School (Lincoln, NE)
Infinity Academy (Springfield, MO)
Infinity Cs (Harrisburg, PA)
Infinity Early College H S (Porter, TX)
Infinity Institute (Jersey City, NJ)
Infinity Math Science & Tech HS (Chicago, IL)
Infinity: Minnesota Digital Academy (Coleraine, MN)
Information Technology & Software Engineering Magnet High Sc (Bridgeport, CT)
Information Technology High School (Long Island City, NY)
Ingalls High School/Junior High (Ingalls, KS)
Ingels Elem. (Kansas City, MO)
Ingenuity Charter (San Diego, CA)
Ingersoll Middle School (Canton, IL)
Ingham Academyfamily Center (Lansing, MI)
Ingham County Youth Center (Lansing, MI)
Ingham Isd Asd Programs (East Lansing, MI)
Ingham Virtual High School (Leslie, MI)
Inglemoor HS (Kenmore, WA)
Ingleside Elem (Norfolk, VA)
Ingleside H S (Ingleside, TX)
Inglewood Continuation High (Inglewood, CA)
Inglewood El Sch (Lansdale, PA)
Inglewood Elementary (Nashville, TN)
Inglewood High (Inglewood, CA)
Ingomar Attendance Center (New Albany, MS)
Ingraham High School (Seattle, WA)
Ingram Tom Moore H S (Ingram, TX)
Ingram/Pye Elementary School (Macon, GA)
Ingrid B. Lacy Middle (Pacifica, CA)
Initial Point High School (Kuna, ID)
Inland Conservatory For The Performing Arts School (Ontario, CA)
Inland Lakes Secondary School (Indian River, MI)
