Barberton Preschool (Barberton, OH)
Barbour County High School (Clayton, AL)
Barbour County Intermediate School (Louisville, AL)
Barbour County Primary School (Clayton, AL)
Barboursville School (Barboursville, WV)
Barbourville City School (Barbourville, KY)
Barclay Brook School (Monroe Twp, NJ)
Barclay Early Childhood Center (Cherry Hill, NJ)
Barclay Hills Education Center (Kalamazoo, MI)
Barcroft Elem (Arlington, VA)
Bard Academy At Simons Rock (Great Barrington, MA)
Bard Early College Cleveland (Cleveland, OH)
Bard Early College High School (Newark, NJ)
Bard High School Early College (Baltimore, MD)
Bard High School Early College (New York, NY)
Bard High School Early College Queens (Long Island City, NY)
Bard HS Early College Dc (Bard Dc) (Washington, DC)
Bardstown Alternative School (Bardstown, KY)
Bardstown High School (Bardstown, KY)
Bardstown Primary School (Bardstown, KY)
Barfield Elementary (Murfreesboro, TN)
Barger Academy (Chattanooga, TN)
Bark Riverharris Jrsr High School (Harris, MI)
Barker Creek Community School (Bremerton, WA)
Barker Junior/Senior High School (Barker, NY)
Barker Road Middle School (Pittsford, NY)
Barkley Bridge Elementary School (Hartselle, AL)
Barley Sheaf Elementary School (Flemington, NJ)
Barling Elementary School (Barling, AR)
Barnabus Home High School (Annville, KY)
Barnard Elementary (San Diego, CA)
Barnard Es (Washington, DC)
Barnegat High School (Barnegat, NJ)
Barnes Academy (Hartwell, GA)
Barnes County North High School (Wimbledon, ND)
Barnes Elementary School (Beaverton, OR)
Barnesville Elementary (Barnesville, MN)
Barnesville High School (Barnesville, OH)
Barnesville Secondary (Barnesville, MN)
Barnett Elementary (Ramona, CA)
Barnett Shoals Elementary School (Athens, GA)
Barneveld Elementary (Barneveld, WI)
Barneveld High (Barneveld, WI)
Barnsdall HS (Barnsdall, OK)
Barnsdall Jhs (Barnsdall, OK)
Barnstable Academy (Oakland, NJ)
Barnstable High (Hyannis, MA)
Barnstable United Elementary School (Marston Mills, MA)
Barnum Elementary (Barnum, MN)
Barnum Secondary (Barnum, MN)
Barnwell Christian School (Blackville, SC)
Barnwell County Career Center (Blackville, SC)
Barnwell Elementary (Barnwell, SC)
Barnwell High (Barnwell, SC)
Barnwell Middle (St Charles, MO)
Barone Middle School (Meeker, CO)
Barr Reeve Middle/High School (Montgomery, IN)
Barr Reeve Primary Grade School (Montgomery, IN)
Barranca Elementary (Covina, CA)
Barren County Area Technology Center (Glasgow, KY)
Barren County High School (Glasgow, KY)
Barrett Elementary School (Birmingham, AL)
Barrie School (Silver Spring, MD)
Barringer High School (Newark, NJ)
Barringer Road Elementary School (Ilion, NY)
Barrington Christian Academy (Barrington, RI)
Barrington Elem. (Florissant, MO)
Barrington Elementary School (Barrington, NH)
Barrington High School (Barrington, IL)
Barrington High School (Barrington, RI)
Barrington Middle School (Barrington, RI)
Barron Area Montessori School (Almena, WI)
Barron Collier High School (Naples, FL)
Barron High (Barron, WI)
Barron Park Elementary (Palo Alto, CA)
Barrow High School (Utqiagvik, AK)
Barry County Christian School (Hastings, MI)
Barry Craig Stewart Kasaan School (Kasaan, AK)
Barry Elem School (Chicago, IL)
Barry Goldwater High School (Phoenix, AZ)
Barry Isd Special Education (Hastings, MI)
Barry Tatum Academy (Lebanon, TN)
Barstow High (Barstow, CA)
Barstow Junior High (Barstow, CA)
Bart-Colerain El Sch (Christiana, PA)
Bartlesville HS (Bartlesville, OK)
Bartlett Educational Center (Erlanger, KY)
Bartlett Elem School (Bartlett, IL)
Bartlett Elementary School (Bartlett, TN)
Bartlett High School (Anchorage, AK)
Bartlett High School (Bartlett, IL)
Bartlett High School (Bartlett, TN)
Bartlett High School (Webster, MA)
Bartlett Middle (Porterville, CA)
Bartlett Schools (Bartlett, TX)
Bartlett Yancey High (Yanceyville, NC)
Barton Chapel Elementary School (Augusta, GA)
Barton El (Irving, TX)
Barton Elementary (Milwaukee, WI)
Barton Elementary (San Bernardino, CA)
Barton High School (Barton, AR)
Barton Township Elementary (Mackey, IN)
Bartonville Elem School (Bartonville, IL)
Bartow Senior High School (Bartow, FL)
Bartow Youth Academy (Bartow, FL)
Bartram John - Main (Philadelphia, PA)
Bartram Trail High School (Saint Johns, FL)
Baruch College Campus High School (New York, NY)
Basalt High School (Basalt, CO)
Bascomb Elementary School (Woodstock, GA)
Basehor-Linwood High School (Basehor, KS)
Bases Learning Center (Oroville, CA)
Basha High School (Chandler, AZ)
Bashor Alternative School (Goshen, IN)
Basic Academy Of Int'L Studies HS (Henderson, NV)
Basic Skills-4 (Minneapolis, MN)
Basile High School (Basile, LA)
