3001 Thunder Rd (Alamagordo, NM)
Timberlake Senior High School (Spirit Lake, ID)
Timberland High (St. Stephen, SC)
Timberland High (Wentzville, MO)
Timberlane Regional High School (Plaistow, NH)
Timberline High School (Boise, ID)
Timberline High School (Lacey, WA)
Timberline High School (Weippe, ID)
Timbers El (Humble, TX)
Timbersong Academy - Bat Cave (Hendersonville, NC)
Timbersong Academy (Weaverville, NC)
Timberview Middle School (Colorado Springs, CO)
Timberwilde El (San Antonio, TX)
Timberwood Park El (San Antonio, TX)
Timbo High School (Timbo, AR)
Times2 Middle/High School (Providence, RI)
Timmerman Elementary (Emporia, KS)
Timmons Elementary School (Chagrin Falls, OH)
Timmonsville High (Timmonsville, SC)
Timothy Academy (Menomonie, WI)
Timothy Christian School (Piscataway, NJ)
Timothy Christian Schools (Elmhurst, IL)
Timothy Edwards School (South Windsor, CT)
Timothy Elementary School (Athens, GA)
Timpanogos High (Orem, UT)
Timpson School (Timpson, TX)
Timpview High (Provo, UT)
Tina-Avalon High (Tina, MO)
Tinian Junior/Senior High (Tinian, MP)
Tinkham Alternative Education (Wayne, MI)
Tinley Park High School (Tinley Park, IL)
Tinora High School (Defiance, OH)
Tintic High (Eureka, UT)
Tinton Falls Middle School (Tinton Falls, NJ)
Tioga Community (Lee Vining, CA)
Tioga Elementary School (Ball, LA)
Tioga High (Groveland, CA)
Tioga High School (Ball, LA)
Tioga High School (Tioga, ND)
Tioga School (Tioga, TX)
Tioga Senior High School (Tioga Center, NY)
Tiospa Zina Tribal School (Agency Village, SD)
Tiospaye Topa School (Laplant, SD)
Tippecanoe High School (Tipp City, OH)
Tippecanoe Valley High School (Akron, IN)
Tipton Academy 48 (Garden City, MI)
Tipton Catholic High School (Tipton, KS)
Tipton Christian Academy (Covington, TN)
Tipton County Alternative Learning Center (Covington, TN)
Tipton Elementary School (Tipton, IA)
Tipton High (Tipton, MO)
Tipton High School (Tipton, IA)
Tipton High School (Tipton, IN)
Tipton HS (Tipton, OK)
Tish. Co. Career And Technical Cent (Tishomingo, MS)
Tishomingo Co Alternative School (Tishomingo, MS)
Tishomingo County High School (Iuka, MS)
Tishomingo HS (Tishomingo, OK)
Titche Blanton Area (Dallas, TX)
Title I Migrant Education Program (Homestead, FL)
Titusville High School (Titusville, FL)
Titusville Shs (Titusville, PA)
Tiverton High School (Tiverton, RI)
Tivy H S (Kerrville, TX)
Tiyan High School (Barrigada, GU)
Tkg Academy (Dallas, TX)
Tl Faulkner School (Prichard, AL)
Tlc Leadership Academy (Audubon, PA)
Tlchs Academy (Snellville, GA)
Tmcc Magnet School (Reno, NV)
Tmi Episcopal (San Antonio, TX)
To'Hajiilee Day School (Tohajiilee, NM)
Toano Middle (Williamsburg, VA)
Tobey Elementary School (Scotts, MI)
Toby Johnson Middle (Elk Grove, CA)
Todd Beamer High School (Federal Way, WA)
Todd County Achievement High School - 17 (Mission, SD)
Todd County Central High School (Elkton, KY)
Todd County High School - 01 (Mission, SD)
Todd County Middle School (Elkton, KY)
Toddler Learning Center (Oak Harbor, WA)
Toddy Thomas Middle (Fortuna, CA)
Togiak School (Togiak, AK)
Tohatchi Elementary (Tohatchi, NM)
Tohatchi High (Tohatchi, NM)
Tohono O'Odham High School (Sells, AZ)
Tohopekaliga (Kissimmee, FL)
Tok School (Tok, AK)
Tokata Learning Center (Shakopee, MN)
Tokay High (Lodi, CA)
Tolar H S (Tolar, TX)
Toledo Christian Schools (Toledo, OH)
Toledo Early College High School (Toledo, OH)
Toledo High School (Toledo, WA)
Toledo Islamic Academy (Sylvania, OH)
Toledo Jr. High (Toledo, OR)
Toledo School For The Arts (Toledo, OH)
Toledo Senior High School (Toledo, OR)
Toledo Technology Academy High School (Toledo, OH)
Toler El (Garland, TX)
Toll Gate High School (Warwick, RI)
Tolland High School (Tolland, CT)
Tolles Career & Technical Center (Plain City, OH)
Tolleson Union High School (Tolleson, AZ)
Tolleson Virtual High School (Tolleson, AZ)
Tolsia High School (Fort Gay, WV)
Toltec Elementary School (Eloy, AZ)
Toltecali High School (Tucson, AZ)
Tom Bean H S (Tom Bean, TX)
Tom Bradley Global Awareness Magnet (Los Angeles, CA)
Tom C Gooch El (Dallas, TX)
Tom Kitayama Elementary (Union City, CA)
Tom Lea Jr El (El Paso, TX)
Tom Matsumoto Elementary (San Jose, CA)
Tom Mccall Elementary School (Redmond, OR)
Tom Wilson El (Katy, TX)
Tomah Baptist Academy (Tomah, WI)
Tomah High (Tomah, WI)
Tomahawk Elem (Lynchburg, VA)
Tomahawk Elem (Shawnee Mission, KS)
Tomahawk Elementary (Tomahawk, WI)
Tomahawk High (Tomahawk, WI)
Tomales Elementary (Tomales, CA)
Tomales High (Tomales, CA)
Tomas C. Ongay (Bayamon, PR)
Tomas Masso Rivera Morales (Toa Alta, PR)
Tomasita Elementary (Albuquerque, NM)
Tomball Alternative Education Center (Tomball, TX)
Tomball H S (Tomball, TX)
Tomball Memorial H S (Tomball, TX)
Tomball Star Academy (Tomball, TX)
Tombstone High School (Tombstone, AZ)
Tome Elementary (Los Lunas, NM)
Tomer Devorah High School (Brooklyn, NY)
Tomorrow Center (Cardington, OH)
Tompkins Elementary (Tehachapi, CA)
Tompkins H S (Katy, TX)
Tompkins-Seneca-Tioga Boces (Ithaca, NY)
Tompkinsville Elem (Tompkinsville, KY)
Toms River High School East (Toms River, NJ)
Toms River High School North (Toms River, NJ)
Toms River High School South (Toms River, NJ)
Tonasket Choice High School (Tonasket, WA)
Tonasket High School (Tonasket, WA)
Tonasket Outreach School (Tonasket, WA)
Tonawanda Elementary (Elm Grove, WI)
Tonawanda Middle/High School (Tonawanda, NY)
Toney Elementary School (Decatur, GA)
Tonganoxie High (Tonganoxie, KS)
Tongass School Of Arts And Sciences Charter School (Ketchikan, AK)
Tongue River Elementary (Ranchester, WY)
Tongue River High School (Dayton, WY)
Tonka Online (Minnetonka, MN)
Tonkawa HS (Tonkawa, OK)
Tonopah High School (Tonopah, NV)
Tonopah Valley High School (Tonopah, AZ)
Tooele Community Learning Center (Tooele, UT)
Tooele High (Tooele, UT)
Tool El (Tool, TX)
Toombs County High School (Lyons, GA)
Toomer Elementary School (Atlanta, GA)
Top Academy (Kingsport, TN)
Top Of The Kuskokwim School (Nikolai, AK)
Topaz Elementary (Fullerton, CA)
Topaz Preparatory Academy (Hesperia, CA)
Tope Elementary School (Grand Junction, CO)
Topeka High (Topeka, KS)
Topeka West High (Topeka, KS)
Toppenish High School (Toppenish, WA)
Topsail High (Hampstead, NC)
Topsail Middle (Hampstead, NC)
Torah Academy For Girls (Far Rockaway, NY)
Torah Academy Of Jacksonville (Jacksonville, FL)
Torah Academy Of Milwaukee (Glendale, WI)
Torah Academy Of The Pacific Northwest (Seattle, WA)
Torah Girls Academy Of Texas (Houston, TX)
Torah High School Long Beach (Long Beach, NY)
Torah High School Of San Diego (San Diego, CA)
Toras Imecha/Bnos Bina-Ateres Nechama (Lakewood, NJ)
Torchbearers Christian Academy (Dade City, FL)
Tornillo H S (Tornillo, TX)
Tornillo Int (Tornillo, TX)
Toro Preschool (Salinas, CA)
Toronto Jr. / Sr. High School (Toronto, OH)
Torrance High (Torrance, CA)
Torrey Hill Intermediate School (Fenton, MI)
Torrey Hills (San Diego, CA)
Torrey Pines Elementary (La Jolla, CA)
Torrey Pines High (San Diego, CA)
Torrington Christian Academy (Torrington, CT)
Torrington High School (Torrington, CT)
Torrington High School (Torrington, WY)
Totem Correspondence School (Hydaburg, AK)
Totino-Grace High School (Fridley, MN)
Tottenville High School (Staten Island, NY)
Touchet Elem & High School (Touchet, WA)
Touchstone (Olympia, WA)
Touchstone School (Litchfield, CT)
Tough El (The Woodlands, TX)
Tourtellotte Memorial High School (North Grosvenordale, CT)
Toussaint L'Ouverture High (West Palm Beach, FL)
Toussaint Louverture-Marquis De Lafayette School No. 6 (Elizabeth, NJ)
Toutle Lake High School (Toutle, WA)
Towanda Area Jshs (Towanda, PA)
Tower Road Christian Academy (Albuquerque, NM)
Tower View Alternative High School (Red Wing, MN)
Towers High School (Decatur, GA)
Towle Institute (Newark, DE)
Town 'N Country Christian Academy (Tampa, FL)
Town & Country Elementary School (Tampa, FL)
Town & Country School (Tulsa, OK)
Town East Christian School (San Antonio, TX)
Town Of Webb School (Old Forge, NY)
Towne Avenue Elementary (Carson, CA)
Towne Meadow Elementary School (Carmel, IN)
Towne Point Elementary School (Dover, DE)
Townline Elementary (Grand Rapids, MI)
Towns County High School (Hiawassee, GA)
Townsend 7-8 (Townsend, MT)
Townsend Elementary (Townsend, TN)
Townsend Harris High School (Flushing, NY)
Townsend North Community School (Castalia, OH)
Townville Elementary (Townville, SC)
Towpath Trail High School (Akron, OH)
Towson High (Towson, MD)
Tr Miller High School (Brewton, AL)
Trabuco Hills High (Mission Viejo, CA)
Trace (San Diego, CA)
Tracy (Wilbur) High (Continuation) (Cerritos, CA)
Tracy Elementary (Baldwin Park, CA)
Tracy High (Tracy, CA)
Tracy Secondary (Tracy, MN)
Traders Point Christian Schools (Whitestown, IN)
Tradewind El (Amarillo, TX)
Traice (Tulsa, OK)
Trail Wind Elementary (Boise, ID)
Trailblazer Academy (Harrodsburg, KY)
Trailside Preschool (Park City, UT)
Trailwoods Elementary (Kansas City, MO)
Training Center Christian School (Garden City, MO)
Tranquillity High (Tranquillity, CA)
Transcenter For Youth/El Puente High (Milwaukee, WI)
Transformation Learning (Claysville, PA)
Transformational Learning Center (Covington, KY)
Transforming Lives Cooperative (Tlc) (Dickinson, TX)
Transit Tech Career And Technical Education High School (Brooklyn, NY)
Transitional School (Longmont, CO)
Transitions 110 (Waconia, MN)
Transitions At Bass (Nashville, TN)
Transitions School (Fridley, MN)
Transitions School (Quincy, IL)
Transmountain Early College H S (El Paso, TX)
Transportation And Law (St Louis, MO)
Trap Hill Middle School (Surveyor, WV)
Trask River High School (Tillamook, OR)
Trauger Mennonite Church School (Mount Pleasant, PA)
Traughber Jr High School (Oswego, IL)
Travelers Rest High (Travelers Rest, SC)
Travell Elementary School (Ridgewood, NJ)
Traver Elementary (Lake Geneva, WI)
Traver Elementary (Traver, CA)
Traver Road Primary School (Pleasant Valley, NY)
Traverse Bay Mennonite School (Traverse City, MI)
Traverse City Christian School (Traverse City, MI)
Traverse City High School (Traverse City, MI)
Travilah Elementary (North Potomac, MD)
Travis B Bryan H S (Bryan, TX)
Travis Co J J A E P (Pflugerville, TX)
Travis Community Day (Fairfield, CA)
Travis County Day School (Austin, TX)
Travis County J J A E P (Austin, TX)
Travis Early College H S (Austin, TX)
Travis Early College H S (San Antonio, TX)
Travis Education Center (Fairfield, CA)
Travis El (Baytown, TX)
Travis El (Ennis, TX)
Travis El (Greenville, TX)
Travis El (Houston, TX)
Travis El (Port Arthur, TX)
Travis H S Of Choice (Paris, TX)
Travis Int (Conroe, TX)
Travis Middle (Mcallen, TX)
Travis Middle (Quanah, TX)
Traweek Middle (West Covina, CA)
Treasure Coast Classical Academy (Stuart, FL)
Treasure Coast High School (Port St Lucie, FL)
Treasure Island Elementary School (North Bay Village, FL)
Treasure State Academy (Great Falls, MT)
Treasure Valley Leadership Academy (Nampa, ID)
Treasure Valley Math/Science (Boise, ID)
Treasure Valley Tech (Tvt) - Idaho (Payette, ID)
Treasures Of Life Academy (Winter Haven, FL)
Treatment & Learning Center (Kansas, IL)
Treca Digital Academy (Marion, OH)
Tree Academy (West Hollywood, CA)
Tree Of Knowledge (Paris, CA)
Tree Of Knowledge Learning Academy (Miami, FL)
Tree Of Life Tallahassee (Tallahassee, FL)
Treehouse Montessori Christian School (Ocean Springs, MS)
Treem Harriet Es (Henderson, NV)
Treetops School International (Euless, TX)
Trego Community High (Wakeeney, KS)
Trego Grade School (Wakeeney, KS)
Trek Program (Howard Lake, MN)
Treknorth High School (Bemidji, MN)
Treland Academy (Wheaton, IL)
Tremont Attendance Center (Tremont, MS)
Tremont Elementary School (Upper Arlington, OH)
Tremont High School (Tremont, IL)
Trempealeau Elementary (Trempealeau, WI)
Tremper High (Kenosha, WI)
Trent Independent School District (Trent, TX)
Trenton Catholic Preparatory Academy-Upper (Hamilton, NJ)
Trenton Central High School - Main Campus (Trenton, NJ)
Trenton El (Trenton, TX)
Trenton H S (Trenton, TX)
Trenton High (Trenton, SC)
Trenton High School (Trenton, FL)
Trenton High School (Trenton, MI)
Trenton Psychiatric Hospital (Trenton, NJ)
Trenton Sr. High (Trenton, MO)
Trenton Stem-To-Civics Charter School (Ewing, NJ)
Treutlen Elementary School (Soperton, GA)
Treutlen Middle/High School (Soperton, GA)
Trevino El (Edinburg, TX)
Trevor Browne High School (Phoenix, AZ)
Trevvett Elem (Richmond, VA)
Trewyn Primary School (Peoria, IL)
Trexler Ms (Allentown, PA)
Treynor High School (Treynor, IA)
Treynor Middle School (Treynor, IA)
Trezevant Career And Technology Center (Memphis, TN)
Trezevant High (Memphis, TN)
Tri Central Middle-High School (Sharpsville, IN)
Tri County Educational Center (Ferndale, MI)
Tri County Elementary School (Dewitt, NE)
Tri County Jr-Sr High School (Dewitt, NE)
Tri County Senior High School (Howard City, MI)
Tri Junior-Senior High School (Straughn, IN)
Tri Lakes Special Serv Co-Op (Kirbyville, MO)
Tri Point Elementary School (Kempton, IL)
Tri Star Career Compact (Celina, OH)
Tri State Christian Academydba Boonsboro Academy (Boonsboro, MD)
Tri-C Community Day (Los Angeles, CA)
Tri-Center High School (Neola, IA)
Tri-Cities High School (East Point, GA)
Tri-Cities Prep (Pasco, WA)
Tri-Cities Rop (Whittier, CA)
Tri-City Adventist School (Pasco, WA)
Tri-City Christian Academy (Chandler, AZ)
Tri-City Christian Academy (High Point, NC)
Tri-City Christian Academy (Somersworth, NH)
Tri-City Christian School (Vista, CA)
Tri-City College Prep High School (Prescott, AZ)
Tri-City High School (Buffalo, IL)
Tri-City Jr High School (Buffalo, IL)
Tri-City United High School (Montgomery, MN)
Tri-Community El Sch (Steelton, PA)
Tri-County Career Center Building (Nelsonville, OH)
Tri-County Center (Murphysboro, IL)
Tri-County Christian School (Spruce Pine, NC)
Tri-County Elem. (Jamesport, MO)
Tri-County High (Jamesport, MO)
Tri-County High (Plainfield, WI)
Tri-County Jr/Sr High School (Thornburg, IA)
Tri-County Jr/Sr High School (Wolcott, IN)
Tri-County North High School (Lewisburg, OH)
Tri-County Regional Vocational Technical (Franklin, MA)
Tri-County Rop (Yuba City, CA)
Tri-County Secondary (Karlstad, MN)
Tri-County Ward (Du Quoin, IL)
Tri-Point High School (Cullom, IL)
Tri-Rivers Career Center (Marion, OH)
Tri-State Christian Academy (Burgettstown, PA)
Tri-State Christian Academy (Cumberland Gap, TN)
Tri-State Christian Academy (Elkton, MD)
Tri-State Christian School (Asbury, IA)
Tri-State Stem+M Early College High School (South Point, OH)
Tri-Tech Skills Center (Kennewick, WA)
Tri-Unity Christian School (Wyoming, MI)
Tri-Valley Elementary - 02 (Colton, SD)
Tri-Valley Elementary School (Grahamsville, NY)
Tri-Valley High School - 01 (Colton, SD)
Tri-Valley High School (Downs, IL)
Tri-Valley High School (Dresden, OH)
Tri-Valley Jshs (Hegins, PA)
Tri-Valley Rop (Livermore, CA)
Tri-Valley School (Healy, AK)
Tri-Valley Secondary School (Grahamsville, NY)
Tri-Village High School (New Madison, OH)
Tri-West Senior High School (Lizton, IN)
Triad (Sarasota, FL)
Triad Baptist Christian Academy (Kernersville, NC)
Triad High School (North Lewisburg, OH)
Triad High School (Troy, IL)
Triad Math And Science Academy (Greensboro, NC)
Triad Middle School (Saint Jacob, IL)
Triangle Lake Charter School (Blachly, OR)
Triangle Math And Science Academy (Cary, NC)
Triboro Christian Academy (Old Forge, PA)
Trico Elementary School (Campbell Hill, IL)
Trico Senior High School (Campbell Hill, IL)
Trident Academy (Mount Pleasant, SC)
Trigg County High School (Cadiz, KY)
Trigg County Primary School (Cadiz, KY)
Trillium Academy (Taylor, MI)
Trilogy School (Gainesville, FL)
Trilok School And Trilok Fusion Arts Inc (Brooklyn, NY)
Trimble County Alternative Program (Bedford, KY)
Trimble County Jr/Sr High School (Bedford, KY)
Trimble High School (Glouster, OH)
Trimble Junior High (Glouster, OH)
Trimble Technical H S (Fort Worth, TX)
Trina Padilla De Sanz (Arecibo, PR)
Trina Padilla De Sanz (San Juan, PR)
Trinidad Garza Early College At Mt View (Dallas, TX)
Trinidad High School (Trinidad, CO)
Trinidad Middle School (Trinidad, CO)
Trinidad School (Trinidad, TX)
Trinitas Academy (Plantation, FL)
Trinitas Christian School (Pensacola, FL)
Trinitas Classical Academy (Franklin, TN)
Trinity Academy (Industry, IL)
Trinity Academy (Pewaukee, WI)
Trinity Academy (Portland, OR)
Trinity Academy (Wichita, KS)
Trinity Academy Performing Art (Providence, RI)
Trinity Baptist Academy (Mocksville, NC)
Trinity Baptist School (Fond Du Lac, WI)
Trinity Baptist School (Williston, VT)
Trinity Catholic High School (Ocala, FL)
Trinity Catholic Jr/Sr High School (Hutchinson, KS)
Trinity Catholic Schools (Dickinson, ND)
Trinity Charter School - Brenham Campus (Brenham, TX)
Trinity Charter School (Canyon Lake, TX)
Trinity Charter School (Katy, TX)
Trinity Charter Schools - Fort Worth Campus (Fort Worth, TX)
Trinity Christian Academy (Addison, TX)
Trinity Christian Academy (Barnstable, MA)
Trinity Christian Academy (Deltona, FL)
Trinity Christian Academy (Hialeah, FL)
Trinity Christian Academy (Hollister, MO)
Trinity Christian Academy (Jackson, TN)
Trinity Christian Academy (Jacksonville, FL)
Trinity Christian Academy (Lake Worth, FL)
Trinity Christian Academy (Lexington, KY)
Trinity Christian Academy (Oxford, AL)
Trinity Christian Academy (Paris, TX)
Trinity Christian Academy (San Antonio, TX)
Trinity Christian High School (Hull, IA)
Trinity Christian High School (Monterey, CA)
Trinity Christian Preparatory School (Charlotte, NC)
Trinity Christian Private School (Okeechobee, FL)
Trinity Christian School (Advance, IN)
Trinity Christian School (Apopka, FL)
Trinity Christian School (Bradford, AR)
Trinity Christian School (Carbondale, IL)
Trinity Christian School (Dublin, GA)
Trinity Christian School (Indianapolis, IN)
Trinity Christian School (Kailua, HI)
Trinity Christian School (Lubbock, TX)
Trinity Christian School (Montville, NJ)
Trinity Christian School (Morgantown, WV)
Trinity Christian School (Prescott, AZ)
Trinity Christian School (Sacramento, CA)
Trinity Christian School (Sharpsburg, GA)
Trinity Christian School (Sophia, NC)
Trinity Christian School (Statesboro, GA)
Trinity Christian School (Stuart, VA)
Trinity Christian School (Texarkana, AR)
Trinity Christian School Of Fairfax (Fairfax, VA)
Trinity Christian School Of Fayetteville, Inc. (Fayetteville, NC)
Trinity Classical School (Mount Airy, GA)
Trinity Collegiate School (Darlington, SC)
Trinity County Community (Weaverville, CA)
Trinity County Special Education (Weaverville, CA)
Trinity Day Academy (New Bedford, MA)
Trinity Elementary North School (Dickinson, ND)
Trinity Episcopal School (Richmond, VA)
Trinity H S (Euless, TX)
Trinity H S (Trinity, TX)
Trinity Heart Christian Academy (Wesley Chapel, FL)
Trinity High (Weaverville, CA)
Trinity High School (Chicago, IL)
Trinity High School (Garfield Heights, OH)
Trinity High School (Louisville, KY)
Trinity High School (Manchester, NH)
Trinity High School (Trinity, NC)
Trinity High School (Whitesville, KY)
Trinity International School (Las Vegas, NV)
Trinity Lutheran High School (Seymour, IN)
Trinity Lutheran School (Bend, OR)
Trinity Lutheran School (Kissimmee, FL)
Trinity Lutheran School (San Angelo, TX)
Trinity Ms (Washington, PA)
Trinity Oaks Christian Academy (Cary, IL)
Trinity Preparatory School (Winter Park, FL)
Trinity Preparatory School Inc. (Voorhees, NJ)
Trinity Presbyterian School (Montgomery, AL)
Trinity School (Canyon Creek, MT)
Trinity School (Midland, TX)
Trinity School (Oklahoma City, OK)
Trinity School At Greenlawn (South Bend, IN)
Trinity School At Meadow View (Falls Church, VA)
Trinity School Of Durham & Chapel Hill (Durham, NC)
Trinity School Of Texas (Longview, TX)
Trinity Services -Trinity School (New Lenox, IL)
Trinity Shs (Washington, PA)
Trinity South El Sch (Washington, PA)
Trinity Street Elementary (Los Angeles, CA)
Trio Wolf Creek Charter School (Chisago City, MN)
Trio Wolf Creek Distance Learning (Chisago City, MN)
Trion High School (Trion, GA)
Triopia Jr-Sr High School (Concord, IL)
Triple Sj Regional Learning Center (Sheridan, WY)
Tripoli Middle/Sr High School (Tripoli, IA)
Tripp-Delmont High School - 01 (Tripp, SD)
Triton Academy (Camarillo, CA)
Triton Central High School (Fairland, IN)
Triton Central Middle School (Fairland, IN)
Triton Elementary (Dodge Center, MN)
Triton High (Erwin, NC)
Triton High School (Dodge Center, MN)
Triton Jr-Sr High School (Bourbon, IN)
Triton Regional High School (Byfield, MA)
Triton Regional High School (Runnemede, NJ)
Tritownship School (Rapid River, MI)
Tritt Elementary School (Marietta, GA)
Triumph Academy (Brigham City, UT)
Triumph High School (Cheyenne, WY)
Triumph Public High Schools-Brownsville (Brownsville, TX)
Triumph Public High Schools-El Paso East (El Paso, TX)
Triumph Public High Schools-El Paso West (El Paso, TX)
Triumph Public High Schools-Laredo North (Laredo, TX)
Triumph Public High Schools-Laredo South (Laredo, TX)
Triumph Public High Schools-Lubbock (Lubbock, TX)
Triumph Public High Schools-Mcallen (Mcallen, TX)
Triumph Public High Schools-Mercedes (Mercedes, TX)
Triumph Public High Schools-San Benito (San Benito, TX)
Triumph Transitions Institute (College Park, GA)
Trivium Charter (Santa Maria, CA)
Trivium Charter School Adventure (Lompoc, CA)
Trivium Charter School Voyage (Santa Barbara, CA)
Trivium School (Lancaster, MA)
Triway High School (Wooster, OH)
Trojan Alternative School (Pe Ell, WA)
Trojan Intermediate (Potosi, MO)
Trona Elementary (Trona, CA)
Trona High (Trona, CA)
Trotwood Preparatory & Fitness Academy (Trotwood, OH)
Trotwood-Madison High School (Trotwood, OH)
Troup County High School (Lagrange, GA)
Troup H S (Troup, TX)
Trousdale Co High School (Hartsville, TN)
Trout Creek 7-8 (Trout Creek, MT)
Trout Lake School (Trout Lake, WA)
Troutman Elementary (Troutman, NC)
Troy A Howard Middle School (Belfast, ME)
Troy Area Jshs (Troy, PA)
Troy Buchanan High (Troy, MO)
Troy Christian High School (Troy, OH)
Troy College And Career High School (Troy, MI)
Troy H S (Troy, TX)
Troy High (Fullerton, CA)
Troy High And Middle School (Troy, KS)
Troy High School (Troy, MI)
Troy High School (Troy, MT)
Troy High School (Troy, NY)
Troy High School (Troy, OH)
Troy Hills Elementary School (Parsippany, NJ)
Troy Hofer Elem Sch (Shorewood, IL)
Troy Holiness School (Troy, MO)
Troy J J A E P (Killeen, TX)
Troy Jr/Sr High School (Troy, ID)
Troy Junior High School (Troy, OH)
Troy Middle School (Plainfield, IL)
Troy Shorewood School (Shorewood, IL)
Troypike Center For Technology (Troy, AL)
Tru Prep Academy (Miami Gardens, FL)
Truckee Elementary (Truckee, CA)
Truckee Meadows School (Reno, NV)
True Light Shines Academy (Wake Forest, NC)
True North Classical Academy (Miami, FL)
True North Classical Academy High School (Miami, FL)
True North Rochester Preparatory Charter School (Rochester, NY)
True North Troy Preparatory Charter School (Troy, NY)
True Partnership Christian Academy (Loganville, GA)
Truitt Intermediate (Chesapeake, VA)
Truman Benedict Elementary (San Clemente, CA)
Truman Elem. (Nevada, MO)
Truman Elem. (Pacific, MO)
Truman Elementary (Green River, WY)
Truman High (Independence, MO)
Truman Middle School (St. Louis, MO)
Truman Secondary (Truman, MN)
Truman Shs (Levittown, PA)
Trumann High School (Trumann, AR)
Trumansburg Elementary School (Trumansburg, NY)
Trumbauersville El Sch (Quakertown, PA)
Trumble Park Elementary School (Papillion, NE)
Trumbull Career & Tech Center (Warren, OH)
Trumbull High School (Trumbull, CT)
Trust Blended Learning (La Mesa, CA)
Truth Christian Academy (Hagerstown, MD)
Truth Christian School (Hamden, OH)
Truth Tabernacle Christian School (Fresno, CA)
Truthville Christian Academy (North Granville, NY)
Tryon Elementary School (Tryon, NC)
Tschetter Colony Elementary - 03 (Olivet, SD)
Tse'Yaato' High School (Page, AZ)
Tse'Yi'Gai High (Pueblo Pintado, NM)
Tsehootsooi Middle School (Fort Defiance, AZ)
Tsuk Taih School (Chalkyitsik, AK)
Tuacahn High School For The Performing Arts (Ivins, UT)
Tualatin Elementary School (Tualatin, OR)
Tualatin High School (Tualatin, OR)
Tuba City Elementary School (Tuba City, AZ)
Tuba City High School (Tuba City, AZ)
Tuckahoe Elem (Richmond, VA)
Tuckahoe High School (Eastchester, NY)
Tuckahoe Middle School (Eastchester, NY)
Tuckahoe School (Southampton, NY)
Tucker (Milton, MA)
Tucker County High School (Hambleton, WV)
Tucker High (Richmond, VA)
Tucker High School (Tucker, GA)
Tucker Middle School (Tucker, GA)
Tuckerman High School (Tuckerman, AR)
Tuckers Crossroads Elementary (Lebanon, TN)
Tuckerton Elementary School (Tuckerton, NJ)
Tucson Baptist Academy (Tucson, AZ)
Tucson Campus - Asdb (Tucson, AZ)
Tucson Campus Preschool - Asdb (Tucson, AZ)
Tucson International Academy (Tucson, AZ)
Tucson International Academy Midvale (Tucson, AZ)
Tucson Magnet High School (Tucson, AZ)
Tucson Preparatory School (Tucson, AZ)
Tucumcari High (Tucumcari, NM)
Tug Valley High School (Williamson, WV)
Tukes Valley Middle School (Battle Ground, WA)
Tukurngailnguq School (Stebbins, AK)
Tukwila Elementary (Tukwila, WA)
Tukwila Online Learning (Tukwila, WA)
Tulare County Community (Visalia, CA)
Tulare County Court (Visalia, CA)
Tulare Technical Preparatory High (Tulare, CA)
Tulare Union High (Tulare, CA)
Tulare Western High (Tulare, CA)
Tularosa High (Tularosa, NM)
Tule Continuation High (Alpaugh, CA)
Tulelake Basin Elementary (Tulelake, CA)
Tulelake Continuation High (Tulelake, CA)
Tulelake High (Tulelake, CA)
Tulia El (Tulia, TX)
Tulia H S (Tulia, TX)
Tulip Grove Elementary (Bowie, MD)
Tullahoma High School (Tullahoma, TN)
Tullar Elementary (Neenah, WI)
Tully C. Knoles (Stockton, CA)
Tully Elementary (Louisville, KY)
Tully Junior-Senior High School (Tully, NY)
Tuloso-Midway Academic Career Center (Corpus Christi, TX)
Tuloso-Midway H S (Corpus Christi, TX)
Tulpehocken Jshs (Bernville, PA)
Tulsa Adventist Academy (Tulsa, OK)
Tulsa Hope Academy (Tulsa, OK)
Tulsa Met HS (Tulsa, OK)
Tulsa Schl Arts Sciences HS (Tulsa, OK)
Tuluksak School (Tuluksak, AK)
Tumwater High School (Tumwater, WA)
Tunbridge Public Charter School (Baltimore, MD)
Tunkhannock HS (Tunkhannock, PA)
Tunstall High (Dry Fork, VA)
Tuolumne County Community/Isp (Sonora, CA)
Tuolumne County Special Education (Sonora, CA)
Tuolumne Elementary (Modesto, CA)
Tupelo Alternative School (Tupelo, MS)
Tupelo Christian Academy (Tupelo, MS)
Tupelo High School (Tupelo, MS)
Tupelo HS (Tupelo, OK)
Tupelo Lee Co Voc Tech School (Tupelo, MS)
Tupper Lake Middle-High School (Tupper Lake, NY)
Turbeville High (Turbeville, SC)
Turkey Creek Middle School (Plant City, FL)
Turkey Hill Elementary School (Lunenburg, MA)
Turkey Valley Jr-Sr High School (Jackson Junction, IA)
Turkeyfoot Valley Area El Sch (Confluence, PA)
Turkeyfoot Valley Area Jshs (Confluence, PA)
Turlington Woods Alternative (Suffolk, VA)
Turlock Christian Jr/Sr High School (Turlock, CA)
Turlock High (Turlock, CA)
Turn About Ranch (Escalante, UT)
Turn Around Graduate (China Spring, TX)
Turnberry Elementary (Commerce City, CO)
Turner Ashby High (Bridgewater, VA)
Turner County High School (Ashburn, GA)
Turner County Middle School (Ashburn, GA)
Turner Elem (Kansas City, KS)
Turner Es (Burneyville, OK)
Turner H S (Carrollton, TX)
Turner High (Beloit, WI)
Turner High (Kansas City, KS)
Turner High School (Turner, MT)
