Kelly Elementary School (W Orange, NJ)
Kelly John B Sch (Philadelphia, PA)
Kelly Lane Primary School (Granby, CT)
Kelly Middle School (Eugene, OR)
Kelly Miller Ms (Washington, DC)
Kelly Primary Sch (Wilkinsburg, PA)
Kelly School (Elizabethtown, PA)
Kelly Springs Elementary School (Dothan, AL)
Kelly Walsh High School (Casper, WY)
Kellybrook Elem School (Kansas City, MO)
Kellyville HS (Kellyville, OK)
Kelseyville Community Day (Kelseyville, CA)
Kelseyville High (Kelseyville, CA)
Kelseyville Learning Academy (Kelseyville, CA)
Kelso Goal Oriented Learning Design (Longview, WA)
Kelso High School (Kelso, WA)
Kelton School (Wheeler, TX)
Kelvyn Park High School (Chicago, IL)
Kemmerer Junior Senior High School (Kemmerer, WY)
Kemmerer Village School (Assumption, IL)
Kemp Alternative (Kemp, TX)
Kemp Elementary School (Powder Springs, GA)
Kemp H S (Kemp, TX)
Kemp J H (Kemp, TX)
Kemp Pri (Kemp, TX)
Kemper Academy (De Kalb, MS)
Kemper County High School (Dekalb, MS)
Kemper Elementary School (Cortez, CO)
Kempner H S (Sugar Land, TX)
Kempsville Center For Behavioral Health (Norfolk, VA)
Kempsville High (Virginia Beach, VA)
Kempton Elementary School (Saginaw, MI)
Ken 'Chief' Hill Learning Academy (Chandler, AZ)
Kenai Alternative High School (Kenai, AK)
Kenai Central High School (Kenai, AK)
Kendall Elementary (Maple Falls, WA)
Kendall Elementary (San Bernardino, CA)
Kendall Elementary School (Norwalk, CT)
Kendall Junior-Senior High School (Kendall, NY)
Kendallvue Elementary School (Morrison, CO)
Kendrick High School (Columbus, GA)
Kendrick Jr/Sr High School (Kendrick, ID)
Kendrick Middle School (Jonesboro, GA)
Kenedy H S (Kenedy, TX)
Kenesaw Elementary School (Kenesaw, NE)
Kenesaw Secondary School (Kenesaw, NE)
Kenmare Elementary School (Kenmare, ND)
Kenmare High School (Kenmare, ND)
Kenmore East Senior High School (Tonawanda, NY)
Kenmore Elementary (Baldwin Park, CA)
Kenmore Middle School (Kenmore, WA)
Kenmore West Senior High School (Buffalo, NY)
Kenmore/Garfield High School (Akron, OH)
Kenna Elementary School (Kenna, WV)
Kennard Isd (Kennard, TX)
Kennard-Dale HS (Fawn Grove, PA)
Kennebunk Elementary School (Kennebunk, ME)
Kennebunk High School (Kennebunk, ME)
Kennedale Alter Ed Prog (Kennedale, TX)
Kennedale H S (Kennedale, TX)
Kennedy Center (Pontiac, MI)
Kennedy El (Corpus Christi, TX)
Kennedy Elem (Lawrence, KS)
Kennedy Elem School (Omaha, NE)
Kennedy Elementary (Green Bay, WI)
Kennedy Elementary (Janesville, WI)
Kennedy Elementary (Junction City, WI)
Kennedy Elementary (Lindsay, CA)
Kennedy Elementary (Stockton, CA)
Kennedy Elementary School (Fargo, ND)
Kennedy Elementary School (Keizer, OR)
Kennedy Elementary School (Mccomb, MS)
Kennedy Elementary School (Medford, OR)
Kennedy High School (Chicago, IL)
Kennedy High School (Fergus Falls, MN)
Kennedy Institute (Washington, DC)
Kennedy Learning Center (Southfield, MI)
Kennedy Middle (Albuquerque, NM)
Kennedy Middle (Charlotte, NC)
Kennedy Middle (El Centro, CA)
Kennedy Middle School (Fergus Falls, MN)
Kennedy Middle School (Saint Clair Shores, MI)
Kennedy School (Butte, MT)
Kennedy School (Valentine, NE)
Kennedy Senior High (Bloomington, MN)
Kennedy Zapata El (Laredo, TX)
Kenner Discovery Health Sciences Academy (Kenner, LA)
Kennerly Elem. (St Louis, MO)
Kennesaw Elementary School (Kennesaw, GA)
Kennesaw Mountain High School (Kennesaw, GA)
Kenneth Burdett School (Ogden, UT)
Kenneth D Bailey Academy (Danville, IL)
Kenneth Honey Rubenstein Center (Davis, WV)
Kenneth N Butz Jr El Sch (Nazareth, PA)
Kenneth W Culbert Elem (Hamilton, VA)
Kennett Career Tech. Ctr. (Kennett, MO)
Kennett Christian Academy (Kennett, MO)
Kennett High (Kennett, MO)
Kennett High School (North Conway, NH)
Kennett HS (Kennett Square, PA)
Kennett Ms (Landenberg, PA)
Kennewick High School (Kennewick, WA)
Kenney Middle School (Hannibal, NY)
Kenny Lake School (Copper Center, AK)
Kennydale Elementary School (Renton, WA)
Keno Elementary School (Keno, OR)
Kenosha Eschool K-12 (Kenosha, WI)
Kenosha Pike School (Kenosha, WI)
Kenowa Hills High School (Grand Rapids, MI)
Kenowa Hills Middle School (Grand Rapids, MI)
Kenowa Hills Pathways High School (Grand Rapids, MI)
Kensico School (Valhalla, NY)
Kensington Creative & Performing Arts HS (Philadelphia, PA)
Kensington Elementary School (Kensington, NH)
Kensington Health Sciences (Philadelphia, PA)
Kensington HS (Philadelphia, PA)
Kensington Woods Schools (Lakeland, MI)
Kenston High School (Chagrin Falls, OH)
Kenston Intermediate School (Chagrin Falls, OH)
Kent Academy (Charlotte, NC)
Kent Career Tech Center (Grand Rapids, MI)
Kent Center School (Kent, CT)
Kent City Alternative High School (Kent City, MI)
Kent City Elementary School (Kent City, MI)
Kent City High School (Kent City, MI)
Kent City Middle School (Kent City, MI)
Kent County Community School (Dover, DE)
Kent County High (Worton, MD)
Kent County Secondary Ilc (Dover, DE)
Kent Denver School (Englewood, CO)
Kent Education Centerbeltline (Grand Rapids, MI)
Kent Hills Elementary (Grand Rapids, MI)
Kent Innovation High School (Grand Rapids, MI)
Kent Isd Oral Deaf (Grand Rapids, MI)
Kent Island High School (Stevensville, MD)
Kent Mountain View Academy (Kent, WA)
Kent Phoenix Academy (Kent, WA)
Kent Place School (Summit, NJ)
Kent School (Kent, CT)
Kent-Meridian High School (Kent, WA)
Kentlake High School (Kent, WA)
Kenton Co Academies Of Innovation & Tech (Edgewood, KY)
Kenton Elementary School (Independence, KY)
Kenton High School (Kenton, OH)
Kenton Mennonite School (Clayton, DE)
Kenton Ridge High School (Springfield, OH)
Kentridge High School (Kent, WA)
Kents Hill School (Kents Hill, ME)
Kentuck Elem (Ringgold, VA)
Kentucky Christian Academy (Campbellsville, KY)
Kentucky Country Day School (Louisville, KY)
Kentucky School For The Blind (Louisville, KY)
Kentucky School For The Deaf (Danville, KY)
Kentwood El (Big Spring, TX)
Kentwood Elementary (Los Angeles, CA)
Kentwood High Magnet School (Kentwood, LA)
Kentwood High School (Covington, WA)
Kenwood Academy High School (Chicago, IL)
Kenwood Elementary (Clarksville, TN)
Kenwood Elementary (Kenwood, CA)
Kenwood Elementary School (Cadillac, MI)
Kenwood Elementary School (Clawson, MI)
Kenwood High (Baltimore, MD)
Kenwood High (Clarksville, TN)
Kenyon Woods Middle School (South Elgin, IL)
Kenyon-Wanamingo High School Credit (Kenyon, MN)
Kenyon-Wanamingo Senior High (Kenyon, MN)
Keokuk Christian Academy (Keokuk, IA)
Keokuk High School (Keokuk, IA)
Keota High School (Keota, IA)
Keota HS (Keota, OK)
Keough Memorial Academy (Bellingham, MA)
Keplar Elementary (Rogersville, TN)
Keppen School (Lincoln Park, MI)
Kerby Elementary School (Grosse Pointe Farms, MI)
Kerens School (Kerens, TX)
Kerhonkson Elementary School (Kerhonkson, NY)
Kerkhoven Secondary (Kerkhoven, MN)
Kerman High (Kerman, CA)
Kermit H S (Kermit, TX)
Kermit Pre K-8 (Kermit, WV)
Kern County Community (Bakersfield, CA)
Kern County Rop (Mojave, CA)
Kern County Special Education (Bakersfield, CA)
Kern High Roc (Bakersfield, CA)
Kern Valley High (Lake Isabella, CA)
Kern Workforce 2000 Academy (Bakersfield, CA)
Kernan Elementary School (Utica, NY)
Kerr H S (Houston, TX)
Kerr-Vance Academy (Henderson, NC)
Kerrville Disciplinary Alternative School (Kerrville, TX)
Kerrydale Elem (Woodbridge, VA)
Kershaw Elem School (Chicago, IL)
Kershaw Intermediate School (Sugar City, ID)
Kesher Ld (Miami, FL)
Keshet High School (Skokie, IL)
Kesling Intermediate School (Laporte, IN)
Kessler Elementary School (Helena, MT)
Kester School (Jordan, MT)
Kestrel Heights School (Durham, NC)
Keswick Christian School (St Petersburg, FL)
Ket'Acik/Aapalluk Memorial School (Kwethluk, AK)
Ketchikan Charter School (Ketchikan, AK)
Ketchikan High School (Ketchikan, AK)
Ketchum HS (Ketchum, OK)
Ketchum Ms (Ketchum, OK)
Ketchum-Grande School Of The Charlton School. (Burnt Hills, NY)
Ketelsen El (Houston, TX)
Kettering Early Childhood Education Center (Dayton, OH)
Kettering Fairmont High School (Kettering, OH)
Kettering Middle School (Kettering, OH)
Kettle Falls High School (Kettle Falls, WA)
Kettle Lake Elementary School (Alto, MI)
Kettle Moraine Correctional Institution (Plymouth, WI)
Kettle Moraine High (Wales, WI)
Kettle Moraine Lutheran High School (Jackson, WI)
Kettle Run High Sch (Nokesville, VA)
Kewanee High School (Kewanee, IL)
Kewaskum High (Kewaskum, WI)
Kewaskum Middle (Kewaskum, WI)
Kewaunee Elementary (Kewaunee, WI)
Kewaunee High (Kewaunee, WI)
Kewaunee Middle (Kewaunee, WI)
Key Center (Springfield, VA)
Key Elementary School (Columbus, GA)
Key Elementary School (Oak Park, MI)
Key Middle (Houston, TX)
Key School (Annapolis, MD)
Key West High School (Key West, FL)
Keya Paha County High School (Springview, NE)
Keyes To Learning Charter (Keyes, CA)
Keyport High School (Keyport, NJ)
Keys Acad (El Paso, TX)
Keys Acad (Harlingen, TX)
Keys Academy - Augusta/Stuarts Draft (Stuarts Draft, VA)
Keys Academy - Culpeper (Culpeper, VA)
Keys Academy Charlottesville (Charlottesville, VA)
Keys Center (Key West, FL)
Keys Es (Park Hill, OK)
Keys Gate Charter High School (Homestead, FL)
Keys Grace Academy (Madison Heights, MI)
Keys H S (Euless, TX)
Keys HS (Park Hill, OK)
Keys Kademy (Lobelville, TN)
Keys Voc Center (Ocean Springs, MS)
Keyser Elementary School (Toledo, OH)
Keyser High School (Keyser, WV)
Keyser Primary School (Keyser, WV)
Keystone Academy (Belleville, MI)
Keystone Central Ctc (Mill Hall, PA)
Keystone Christian Academy - York (York, PA)
Keystone Christian Academy (Berryville, VA)
Keystone Education Center Cs (Greenville, PA)
Keystone El Sch (Croydon, PA)
Keystone El Sch (Knox, PA)
Keystone Elementary (Memphis, TN)
Keystone Freedom Academy (Warminster, PA)
Keystone Heights Elementary (Keystone Heights, FL)
Keystone Heights Junior/Senior High (Keystone Heights, FL)
Keystone High School (Lagrange, OH)
Keystone Jshs (Knox, PA)
Keystone National High School (Miami, FL)
Keystone Oaks HS (Pittsburgh, PA)
Keystone Prep High School (Odessa, FL)
Keystone School (San Antonio, TX)
Keytesville Elem. (Keytesville, MO)
Keytesville High (Keytesville, MO)
Khalil Gibran International Academy (Brooklyn, NY)
Ki Charter Academy (San Marcos, TX)
Ki Charter Academy Liberty Hill (Liberty Hill, TX)
Kiana School (Kiana, AK)
Kickapoo High (Springfield, MO)
Kickapoo High (Viola, WI)
Kickapoo Nation School (Powhattan, KS)
Kids Community College Charter High School (Riverview, FL)
Kids Community College Charter School Southeast Hillsborough (Riverview, FL)
Kids Peace Berks Campus (Temple, PA)
Kids World School, Inc & Cornerstone Academy Of L. (Los Angeles, CA)
Kidspeace (Bowdon, GA)
Kidspeace Advances Program School (Temple, PA)
Kidspeace National Centers (Orefield, PA)
Kidspeace-Millinocket (Millinocket, ME)
Kidsville Academy 2 (Kissimmee, FL)
Kidz Cove Ii (Tampa, FL)
Kiefer Es (Kiefer, OK)
Kiefer HS (Kiefer, OK)
Kiefer School (Peoria, IL)
Kiel Eschool (Kiel, WI)
Kiel High (Kiel, WI)
Kihei Charter School (Kihei, HI)
Kiita Learning Community (Utqiagvik, AK)
Kila School (Kila, MT)
Kilauea Elementary School (Kilauea, HI)
Kilbourne High School (Kilbourne, LA)
Kilgore H S (Kilgore, TX)
Kilgour School (Cincinnati, OH)
Killdeer High School (Killdeer, ND)
Killearn Lakes Elementary School (Tallahassee, FL)
Killeen Adventist Junior Academy (Killeen, TX)
Killeen H S (Killeen, TX)
Killeen Isd Career Center (Killeen, TX)
Killeen Isd Early College H S (Fort Hood, TX)
Killeen Jjaep (Killeen, TX)
Killian Hill Christian School (Lilburn, GA)
Killian Middle (Lewisville, TX)
Killingly Central School (Dayville, CT)
Killingly High School (Dayville, CT)
